model,percentile,gamma,dT_O,dT_L_x,q_L_x
BCC-CSM2-MR,1,1.1391443750915098,1.6282959,1.8548641154695673,0.012646359391510487
BCC-CSM2-MR,2,1.13577397443494,1.6282959,1.8493761058991176,0.012701854109764099
BCC-CSM2-MR,5,1.1268415487230046,1.6282959,1.8348314737353184,0.012850535102188587
BCC-CSM2-MR,10,1.1171551868301433,1.6282959,1.8190592103792562,0.013014452531933784
BCC-CSM2-MR,15,1.1108712563378778,1.6282959,1.8088271121228152,0.013122321106493473
BCC-CSM2-MR,25,1.1050030507432707,1.6282959,1.7992719370127594,0.013224161230027676
BCC-CSM2-MR,35,1.1070043439851822,1.6282959,1.8025306345932617,0.01318930834531784
BCC-CSM2-MR,45,1.116171382487847,1.6282959,1.8174572858022928,0.01303126011043787
BCC-CSM2-MR,55,1.1342587948610474,1.6282959,1.8469089452111844,0.01272690948098898
BCC-CSM2-MR,65,1.164788388620704,1.6282959,1.896620157558699,0.012234640307724476
BCC-CSM2-MR,75,1.218860359210237,1.6282959,1.9846653255745559,0.011423283256590366
BCC-CSM2-MR,85,1.3184879836939392,1.6282959,2.1468885780481077,0.010102625004947186
BCC-CSM2-MR,90,1.390070861633526,1.6282959,2.2634466847073376,0.009270599111914635
BCC-CSM2-MR,95,1.4808367906288322,1.6282959,2.4112404747500857,0.008331266231834888
BCC-CSM2-MR,98,1.5531637958726505,1.6282959,2.5290102408478736,0.007661355659365654
BCC-CSM2-MR,99,1.5917651540359024,1.6282959,2.591864674079528,0.00732873659580946
