model,percentile,gamma,dT_O,dT_L_x,q_L_x
BCC-CSM2-MR,1,1.1539282559612278,1.6282959,1.8789366480758178,0.012646359391510487
BCC-CSM2-MR,2,1.1505352648419307,1.6282959,1.8734118545475298,0.012701854109764099
BCC-CSM2-MR,5,1.1415423651511267,1.6282959,1.8587687528518824,0.012850535102188587
BCC-CSM2-MR,10,1.1317894345423372,1.6282959,1.8428880959286058,0.013014452531933784
BCC-CSM2-MR,15,1.1254617670333789,1.6282959,1.8325847808672058,0.013122321106493473
BCC-CSM2-MR,25,1.1195523261858165,1.6282959,1.8229624625638274,0.013224161230027676
BCC-CSM2-MR,35,1.1215677248157792,1.6282959,1.8262441278898613,0.01318930834531784
BCC-CSM2-MR,45,1.1307988114293308,1.6282959,1.8412750683752523,0.01303126011043787
BCC-CSM2-MR,55,1.1490098889706508,1.6282959,1.8709280912703659,0.01272690948098898
BCC-CSM2-MR,65,1.1797400662346667,1.6282959,1.920965912915636,0.012234640307724476
BCC-CSM2-MR,75,1.234142192420802,1.6282959,2.009548671935803,0.011423283256590366
BCC-CSM2-MR,85,1.3342941794831447,1.6282959,2.1726257418462684,0.010102625004947186
BCC-CSM2-MR,90,1.4061867067860288,1.6282959,2.2896880492941927,0.009270599111914635
BCC-CSM2-MR,95,1.4972646943619974,1.6282959,2.4379899630443935,0.008331266231834888
BCC-CSM2-MR,98,1.5697759483915696,1.6282959,2.556059740684604,0.007661355659365654
BCC-CSM2-MR,99,1.6084522838464648,1.6282959,2.6190362591328347,0.00732873659580946
