model,gamma,dT_O,dT_L_x
CESM2-WACCM,1.1762165284291999,2.5204468,2.964591185186486
CESM2-WACCM,1.1725480309406184,2.5204468,2.955344932430583
CESM2-WACCM,1.1626281309299609,2.5204468,2.930342352192401
CESM2-WACCM,1.1504611590838505,2.5204468,2.8996761469371823
CESM2-WACCM,1.1411923739174334,2.5204468,2.876314667024599
CESM2-WACCM,1.1315313156203135,2.5204468,2.8519644835550095
CESM2-WACCM,1.1314246470009972,2.5204468,2.851695630974793
CESM2-WACCM,1.141876979165264,2.5204468,2.8780401781307567
CESM2-WACCM,1.1633765276614096,2.5204468,2.9322286463393117
CESM2-WACCM,1.1982154539833858,2.5204468,3.0200383067029724
CESM2-WACCM,1.251405931452543,2.5204468,3.1541020754305817
CESM2-WACCM,1.3300777584024241,2.5204468,3.3523902299165633
CESM2-WACCM,1.3863958319160758,2.5204468,3.4943369380862115
CESM2-WACCM,1.4569895215194126,2.5204468,3.672264577147135
CESM2-WACCM,1.520500478392742,2.5204468,3.8323405651634563
CESM2-WACCM,1.5643164758923014,2.5204468,3.9427764558500287
