model,percentile,gamma,dT_O,dT_L_x,q_L_x
CESM2-WACCM,1,1.1937363636739386,2.5204468,3.0087489978656152,0.013265592977404594
CESM2-WACCM,2,1.1899586340907053,2.5204468,2.9992274314262897,0.01332692801952362
CESM2-WACCM,5,1.1795850258520604,2.5204468,2.973081303736743,0.013497374020516872
CESM2-WACCM,10,1.1661666873940695,2.5204468,2.939261095508983,0.013722345232963562
CESM2-WACCM,15,1.1558094275697908,2.5204468,2.9131561731281113,0.013899566605687141
CESM2-WACCM,25,1.144058783562749,2.5204468,2.8835393000426235,0.014104515314102173
CESM2-WACCM,35,1.142156297781143,2.5204468,2.8787441858423293,0.014138094149529934
CESM2-WACCM,45,1.15042364698825,2.5204468,2.899581599695865,0.013992982916533947
CESM2-WACCM,55,1.169615014858805,2.5204468,2.9479524214328277,0.01366403792053461
CESM2-WACCM,65,1.201782498728714,2.5204468,3.0290288532167917,0.01313624158501625
CESM2-WACCM,75,1.251331992414473,2.5204468,3.153915716018683,0.012376337312161922
CESM2-WACCM,85,1.3242597576917061,2.5204468,3.3377262686428364,0.011361339129507542
CESM2-WACCM,90,1.376121192223145,2.5204468,3.468440255351011,0.010704993270337582
CESM2-WACCM,95,1.4401856963197637,2.5204468,3.6299114296949204,0.00995947141200304
CESM2-WACCM,98,1.4968397143873504,2.5204468,3.7727048682405115,0.009353356435894966
CESM2-WACCM,99,1.5360866081217548,2.5204468,3.871624575963331,0.008959686383605003
