model,gamma,dT_O,dT_L_x
CNRM-CM6-1,1.2173021346421244,2.0804138,2.532492159678934
CNRM-CM6-1,1.2146986331085758,2.0804138,2.5270757991602184
CNRM-CM6-1,1.20768308058328,2.0804138,2.512480546871968
CNRM-CM6-1,1.1996661381201494,2.0804138,2.495801989137865
CNRM-CM6-1,1.194613981884442,2.0804138,2.485291413585343
CNRM-CM6-1,1.1930849791842955,2.0804138,2.4821104552677213
CNRM-CM6-1,1.2050435275657925,2.0804138,2.506989184348555
CNRM-CM6-1,1.2317423643576424,2.0804138,2.5625338128542676
CNRM-CM6-1,1.2759422238759752,2.0804138,2.6544878105542686
CNRM-CM6-1,1.3417175044559675,2.0804138,2.7913276119717563
CNRM-CM6-1,1.4294686632097944,2.0804138,2.9738863336092085
CNRM-CM6-1,1.5318628122781202,2.0804138,3.1869085343702106
CNRM-CM6-1,1.5875859613748873,2.0804138,3.302835742730583
CNRM-CM6-1,1.6490558566658073,2.0804138,3.430718561178368
CNRM-CM6-1,1.7051310635745096,2.0804138,3.5473781954690873
CNRM-CM6-1,1.738980607898097,2.0804138,3.61779925460359
