model,percentile,gamma,dT_O,dT_L_x,q_L_x
CNRM-CM6-1,1,1.2433952313040455,2.0804138,2.5867765980591284,0.011310046538710594
CNRM-CM6-1,2,1.2401676797919445,2.0804138,2.5800619553531425,0.011355238035321236
CNRM-CM6-1,5,1.2321323430822457,2.0804138,2.5633451299746386,0.011468775570392609
CNRM-CM6-1,10,1.2225316774768473,2.0804138,2.5433717727599823,0.011606387794017792
CNRM-CM6-1,15,1.2164342570333497,2.0804138,2.530686615124928,0.011694913730025291
CNRM-CM6-1,25,1.2125134702729263,2.0804138,2.5225297562416857,0.01175230834633112
CNRM-CM6-1,35,1.2219789815689526,2.0804138,2.5422219365659946,0.011614375747740269
CNRM-CM6-1,45,1.246104907392684,2.0804138,2.592413845587462,0.011272286996245384
CNRM-CM6-1,55,1.2869469031374083,2.0804138,2.677382097154328,0.01072241086512804
CNRM-CM6-1,65,1.3489575193186667,2.0804138,2.806389838804321,0.009951187297701836
CNRM-CM6-1,75,1.431784949290067,2.0804138,2.9787051671353555,0.009025271981954575
CNRM-CM6-1,85,1.527566372168169,2.0804138,3.1779701610745947,0.008079739287495613
CNRM-CM6-1,90,1.5790023777192366,2.0804138,3.2849783368399126,0.007619315758347511
CNRM-CM6-1,95,1.6351212355469835,2.0804138,3.4017287831049954,0.007150017190724611
CNRM-CM6-1,98,1.6863158710373927,2.0804138,3.508234809265212,0.006749142426997423
CNRM-CM6-1,99,1.7169111280202634,2.0804138,3.5718856041069227,0.006520981900393963
