model,gamma,dT_O,dT_L_x
CNRM-ESM2-1,1.2348711334005291,2.1114502,2.607368901592774
CNRM-ESM2-1,1.232218540633071,2.1114502,2.6017680840634063
CNRM-ESM2-1,1.226191860879802,2.1114502,2.5890430498930304
CNRM-ESM2-1,1.218824161173382,2.1114502,2.57348651887437
CNRM-ESM2-1,1.2146049713327651,2.1114502,2.5645779096415615
CNRM-ESM2-1,1.215712695657785,2.1114502,2.5669168143891694
CNRM-ESM2-1,1.2313811348331314,2.1114502,2.5999999434196424
CNRM-ESM2-1,1.26220750163567,2.1114502,2.665088281770136
CNRM-ESM2-1,1.3102892240338269,2.1114502,2.7666104441440686
CNRM-ESM2-1,1.3783880965821926,2.1114502,2.91039782220609
CNRM-ESM2-1,1.4625224301980548,2.1114502,3.088043277746169
CNRM-ESM2-1,1.5598690372440405,2.1114502,3.293585790662737
CNRM-ESM2-1,1.6131701913725363,2.1114502,3.40612852320758
CNRM-ESM2-1,1.670472724244297,2.1114502,3.5271199677001657
CNRM-ESM2-1,1.7202957016238611,2.1114502,3.6323187032528423
CNRM-ESM2-1,1.7488623734835216,2.1114502,3.6926358082642565
