model,percentile,gamma,dT_O,dT_L_x,q_L_x
CNRM-ESM2-1,1,1.2538049683404473,2.1114502,2.647346751163431,0.01132235024124384
CNRM-ESM2-1,2,1.2507006159118992,2.1114502,2.640792065607303,0.011365342885255814
CNRM-ESM2-1,5,1.2430830753659592,2.1114502,2.62470800809807,0.011471749283373356
CNRM-ESM2-1,10,1.2336105877866244,2.1114502,2.604707322304186,0.011605899780988693
CNRM-ESM2-1,15,1.2278031879605869,2.1114502,2.592445286780019,0.011689168401062489
CNRM-ESM2-1,25,1.2260685015918917,2.1114502,2.5887825828999005,0.011714193969964981
CNRM-ESM2-1,35,1.2388194524270812,2.1114502,2.6157055805910514,0.01153187733143568
CNRM-ESM2-1,45,1.2665257715617426,2.1114502,2.674206093669196,0.011148379184305668
CNRM-ESM2-1,55,1.3111301504340807,2.1114502,2.76838601836007,0.010565035976469517
CNRM-ESM2-1,65,1.3752122782989287,2.1114502,2.9036922400567287,0.009793194942176342
CNRM-ESM2-1,75,1.4546568070788342,2.1114502,3.071435406237966,0.008930732496082783
CNRM-ESM2-1,85,1.5458328077593664,2.1114502,3.263948991110076,0.008050162345170975
CNRM-ESM2-1,90,1.595397705315039,2.1114502,3.36860280396698,0.007613697554916143
CNRM-ESM2-1,95,1.6484086500617854,2.1114502,3.480532773854687,0.007175935432314873
CNRM-ESM2-1,98,1.6946479511530337,2.1114502,3.5781647553916636,0.006816456560045481
CNRM-ESM2-1,99,1.721211317575982,2.1114502,3.634251980738071,0.006618679501116276
