model,gamma,dT_O,dT_L_x
CanESM5,1.2609574146313738,2.4907837,3.1407721747579673
CanESM5,1.256474728405621,2.4907837,3.129606772974648
CanESM5,1.2445152228876326,2.4907837,3.0998182315703824
CanESM5,1.2287683014931727,2.4907837,3.0605960564358803
CanESM5,1.2171829388719722,2.4907837,3.031739424060405
CanESM5,1.2049938364657249,2.4907837,3.0013790064692936
CanESM5,1.2048580143710463,2.4907837,3.0010407030097683
CanESM5,1.2177861650203299,2.4907837,3.033241929918148
CanESM5,1.245028611376004,2.4907837,3.1010969712489858
CanESM5,1.2947101531502352,2.4907837,3.2248429456911096
CanESM5,1.3845632080037418,2.4907837,3.44864747011543
CanESM5,1.5199575251944224,2.4907837,3.785885428446607
CanESM5,1.5803328659794602,2.4907837,3.936267343155924
CanESM5,1.6364402720552969,2.4907837,4.076018755658899
CanESM5,1.675200240840864,2.4907837,4.172561454122499
CanESM5,1.6947495060111182,2.4907837,4.221254445155545
