model,percentile,gamma,dT_O,dT_L_x,q_L_x
CanESM5,1,1.2748282822456862,2.4907837,3.1753215057165547,0.014110291376709938
CanESM5,2,1.270465910494009,2.4907837,3.1644557812641367,0.01417869795113802
CanESM5,5,1.2581379744298962,2.4907837,3.1337495590610023,0.014374577440321445
CanESM5,10,1.2414220810586982,2.4907837,3.0921138843210847,0.01464639138430357
CanESM5,15,1.2287515563165325,2.4907837,3.0605543478228516,0.014857351779937744
CanESM5,25,1.2144249653045667,2.4907837,3.0248699084536805,0.015101187862455845
CanESM5,35,1.2121657958643324,2.4907837,3.0192428060364067,0.015140164643526077
CanESM5,45,1.2228553897762167,2.4907837,3.0458682723117474,0.014957011677324772
CanESM5,55,1.247427707774205,2.4907837,3.1070726014523533,0.014547896571457386
CanESM5,65,1.2935007492293096,2.4907837,3.221830582118152,0.013822701759636402
CanESM5,75,1.3780287456792841,2.4907837,3.4323715378694066,0.01261831633746624
CanESM5,85,1.5065677253907739,2.4907837,3.752534333349416,0.011045862920582294
CanESM5,90,1.5636779733055195,2.4907837,3.8947836079584235,0.010430164635181427
CanESM5,95,1.6168253925832077,2.4907837,4.027162333592355,0.009896262548863888
CanESM5,98,1.652931415907438,2.4907837,4.117094627960167,0.009553138166666031
CanESM5,99,1.670211246512403,2.4907837,4.160134948369776,0.009394172579050064
