model,gamma,dT_O,dT_L_x
GFDL-CM4,1.1524104478113477,1.9306335,2.2248822162945894
GFDL-CM4,1.1483498376323618,1.9306335,2.217042666252598
GFDL-CM4,1.138494353649672,1.9306335,2.198015338716904
GFDL-CM4,1.1263200587245827,1.9306335,2.1745112370956465
GFDL-CM4,1.1175009085308014,1.9306335,2.157484690290001
GFDL-CM4,1.106587563021274,1.9306335,2.1364150198522327
GFDL-CM4,1.103524616162513,1.9306335,2.130501592037989
GFDL-CM4,1.10958146861004,1.9306335,2.1421951542777418
GFDL-CM4,1.1272303196395057,1.9306335,2.1762686173117376
GFDL-CM4,1.1637520029704413,1.9306335,2.2467786026268333
GFDL-CM4,1.235659476492044,1.9306335,2.3856055799080025
GFDL-CM4,1.3518406244488372,1.9306335,2.609908796221844
GFDL-CM4,1.4138112633595128,1.9306335,2.729551387719198
GFDL-CM4,1.489410252715796,1.9306335,2.8755053291365815
GFDL-CM4,1.5407797100239469,1.9306335,2.9746809242925174
GFDL-CM4,1.5685168328472416,1.9306335,3.028231142808785
