model,percentile,gamma,dT_O,dT_L_x,q_L_x
GFDL-CM4,1,1.1707722946420087,1.9306335,2.2603322129077323,0.012466952204704285
GFDL-CM4,2,1.1668097618267654,1.9306335,2.2526820143097743,0.012529851868748665
GFDL-CM4,5,1.1566781999105495,1.9306335,2.233121681467004,0.012692635878920555
GFDL-CM4,10,1.1434330323838684,1.9306335,2.207550117326881,0.01290979702025652
GFDL-CM4,15,1.1332670780162792,1.9306335,2.187923385265342,0.013079916127026081
GFDL-CM4,25,1.119855322405913,1.9306335,2.1620302005901557,0.013309076428413391
GFDL-CM4,35,1.1143129942494143,1.9306335,2.1513299961832266,0.013405386358499527
GFDL-CM4,45,1.1177887186939541,1.9306335,2.158040346232624,0.01334487646818161
GFDL-CM4,55,1.132600487177651,1.9306335,2.1866364426614933,0.013091177679598331
GFDL-CM4,65,1.1653827316360625,1.9306335,2.249926942018092,0.012552608735859394
GFDL-CM4,75,1.231762999598276,1.9306335,2.3780829110849178,0.01154986210167408
GFDL-CM4,85,1.3397345121678979,1.9306335,2.586536330297501,0.010131094604730606
GFDL-CM4,90,1.3964638602975994,1.9306335,2.6960599102298652,0.00947357714176178
GFDL-CM4,95,1.465183740891465,1.9306335,2.8287328138203818,0.008745280094444752
GFDL-CM4,98,1.5105639741024113,1.9306335,2.9163454122952475,0.008300665766000748
GFDL-CM4,99,1.5352928879437735,1.9306335,2.964087881775995,0.008069447241723537
