model,percentile,gamma,dT_O,dT_L_x,q_L_x
GFDL-CM4,1,1.1694068665568433,1.9306335,2.2576960717046712,0.012466952204704285
GFDL-CM4,2,1.1654467209646333,1.9306335,2.250050481959473,0.012529851868748665
GFDL-CM4,5,1.1553213318341164,1.9306335,2.2305020665035618,0.012692635878920555
GFDL-CM4,10,1.1420843837951675,1.9306335,2.2049463711818076,0.01290979702025652
GFDL-CM4,15,1.1319248531264778,1.9306335,2.1853320409285577,0.013079916127026081
GFDL-CM4,25,1.1185217250614405,1.9306335,2.1594555128814066,0.013309076428413391
GFDL-CM4,35,1.112983012973045,1.9306335,2.148762289776695,0.013405386358499527
GFDL-CM4,45,1.116456466223588,1.9306335,2.1554682549828774,0.01334487646818161
GFDL-CM4,55,1.1312586869866135,1.9306335,2.18404591826237,0.013091177679598331
GFDL-CM4,65,1.1640205542050135,1.9306335,2.2472970766367646,0.012552608735859394
GFDL-CM4,75,1.2303627431353643,1.9306335,2.375379529049029,0.01154986210167408
GFDL-CM4,85,1.3382814204570688,1.9306335,2.5837309427620023,0.010131094604730606
GFDL-CM4,90,1.3949875267728582,1.9306335,2.693209651269827,0.00947357714176178
GFDL-CM4,95,1.463683422513471,1.9306335,2.825836248899161,0.008745280094444752
GFDL-CM4,98,1.5090503214274584,1.9306335,2.913423103733619,0.008300665766000748
GFDL-CM4,99,1.5337728076837864,1.9306335,2.9611531639033752,0.008069447241723537
