model,gamma,dT_O,dT_L_x
GFDL-ESM4,1.1529439224558977,1.5941162,1.8379265844784902
GFDL-ESM4,1.1493516517254818,1.5941162,1.8322000875123485
GFDL-ESM4,1.139580583562803,1.5941162,1.816623869462918
GFDL-ESM4,1.1285650531424978,1.5941162,1.7990638339683165
GFDL-ESM4,1.121107377941635,1.5941162,1.787175433116283
GFDL-ESM4,1.112413098135407,1.5941162,1.7733157408298421
GFDL-ESM4,1.1121980511770428,1.5941162,1.772972930989753
GFDL-ESM4,1.1212554082908377,1.5941162,1.7874114106940386
GFDL-ESM4,1.1429533313663713,1.5941162,1.8220004213751007
GFDL-ESM4,1.184079815277384,1.5941162,1.8875608156266852
GFDL-ESM4,1.2560686204710718,1.5941162,2.0023193362045872
GFDL-ESM4,1.3508615296443316,1.5941162,2.153430248362809
GFDL-ESM4,1.403513717649992,1.5941162,2.2373639542280785
GFDL-ESM4,1.4691570890710584,1.5941162,2.342007116033017
GFDL-ESM4,1.5221683382391942,1.5941162,2.426513207114179
GFDL-ESM4,1.5542482701302893,1.5941162,2.4776523462366704
