model,percentile,gamma,dT_O,dT_L_x,q_L_x
GFDL-ESM4,1,1.171680113292782,1.5941162,1.8677942498178592,0.01280470471829176
GFDL-ESM4,2,1.1677948972012702,1.5941162,1.8616007639058794,0.012867673300206661
GFDL-ESM4,5,1.1577778293997565,1.5941162,1.845632393846988,0.013031971640884876
GFDL-ESM4,10,1.1452876307192994,1.5941162,1.8257215657892527,0.013240859843790531
GFDL-ESM4,15,1.1363248604793723,1.5941162,1.8114338685529072,0.013393584638834
GFDL-ESM4,25,1.1250302187268528,1.5941162,1.7934288971620194,0.013589509762823582
GFDL-ESM4,35,1.1221930146192156,1.5941162,1.7889060641313284,0.01363934576511383
GFDL-ESM4,45,1.1286581211801445,1.5941162,1.7992121952348314,0.013526150025427341
GFDL-ESM4,55,1.147028415851329,1.5941162,1.8284965795689405,0.013211473822593689
GFDL-ESM4,65,1.1839626780942165,1.5941162,1.8873740853453755,0.012608356773853302
GFDL-ESM4,75,1.2499301195856947,1.5941162,1.992533852499493,0.011619825847446918
GFDL-ESM4,85,1.3365152602434396,1.5941162,2.130560627901283,0.010470434091985226
GFDL-ESM4,90,1.3837884472941997,1.5941162,2.20591958120453,0.009903600439429283
GFDL-ESM4,95,1.442238102495722,1.5941162,2.299095123445691,0.009254129603505135
GFDL-ESM4,98,1.4885444357887827,1.5941162,2.3729127995107584,0.00877580139786005
GFDL-ESM4,99,1.516502896441337,1.5941162,2.4174818345640574,0.00850114319473505
