model,gamma,dT_O,dT_L_x
HadGEM3-GC31-LL,1.1143473675908702,2.6574402,2.9613114914001555
HadGEM3-GC31-LL,1.1103857991046124,2.6574402,2.950783860049721
HadGEM3-GC31-LL,1.0993116924421975,2.6574402,2.9213550838259317
HadGEM3-GC31-LL,1.085726078326457,2.6574402,2.8852521267330755
HadGEM3-GC31-LL,1.076845221430472,2.6574402,2.8616517806072377
HadGEM3-GC31-LL,1.0664727566459669,2.6574402,2.8340875757158095
HadGEM3-GC31-LL,1.0627696959018686,2.6574402,2.8242469132314008
HadGEM3-GC31-LL,1.0696583130261041,2.6574402,2.842553001299753
HadGEM3-GC31-LL,1.0892757323838926,2.6574402,2.894685120121398
HadGEM3-GC31-LL,1.1245188091940839,2.6574402,2.988341489208488
HadGEM3-GC31-LL,1.18667771273464,2.6574402,3.153525058265084
HadGEM3-GC31-LL,1.299317936255688,2.6574402,3.4528597163869024
HadGEM3-GC31-LL,1.3868415951962967,2.6574402,3.6854486061067657
HadGEM3-GC31-LL,1.5321988206001682,2.6574402,4.071726740255475
HadGEM3-GC31-LL,1.714866096870005,2.6574402,4.557154103439445
HadGEM3-GC31-LL,1.8602914423830796,2.6574402,4.94361326270478
