model,percentile,gamma,dT_O,dT_L_x,q_L_x
HadGEM3-GC31-LL,1,1.1482622664017994,2.6574402,3.051438306879251,0.013151109218597412
HadGEM3-GC31-LL,2,1.1438684275896394,2.6574402,3.0397619429874965,0.013224882073700428
HadGEM3-GC31-LL,5,1.1318425022050775,2.6574402,3.0078037654283616,0.013429727405309677
HadGEM3-GC31-LL,10,1.1165296830081932,2.6574402,2.9671108641192294,0.013696947135031223
HadGEM3-GC31-LL,15,1.1061627856713363,2.6574402,2.939561454386993,0.013882056809961796
HadGEM3-GC31-LL,25,1.0931423991682712,2.6574402,2.90496055587421,0.014119520783424377
HadGEM3-GC31-LL,35,1.087090902761245,2.6574402,2.888879066052023,0.01423182338476181
HadGEM3-GC31-LL,45,1.0918548078786978,2.6574402,2.9015388590201283,0.01414331141859293
HadGEM3-GC31-LL,55,1.109265679418315,2.6574402,2.9478072089665432,0.013826289214193821
HadGEM3-GC31-LL,65,1.1421102781519805,2.6574402,3.035089765994255,0.0132545605301857
HadGEM3-GC31-LL,75,1.2010335405540984,2.6574402,3.191674812216791,0.012307248078286648
HadGEM3-GC31-LL,85,1.30851888636825,2.6574402,3.4773106910942193,0.010798961855471134
HadGEM3-GC31-LL,90,1.3918829300695603,2.6574402,3.6988456520606383,0.00978955626487732
HadGEM3-GC31-LL,95,1.531041906919072,2.6574402,4.0686523113314,0.008349461480975151
HadGEM3-GC31-LL,98,1.7074075496076706,2.6574402,4.537333460110918,0.006861610803753138
HadGEM3-GC31-LL,99,1.8493745448175487,2.6574402,4.914602260254855,0.0058701056987047195
