model,percentile,gamma,dT_O,dT_L_x,q_L_x
HadGEM3-GC31-LL,1,1.130263762166052,2.6574402,3.003608358183306,0.013151109218597412
HadGEM3-GC31-LL,2,1.1259077049982158,2.6574402,2.9920323967519993,0.013224882073700428
HadGEM3-GC31-LL,5,1.1139864180358434,2.6574402,2.960352289542455,0.013429727405309677
HadGEM3-GC31-LL,10,1.098809444249362,2.6574402,2.9200203892879135,0.013696947135031223
HadGEM3-GC31-LL,15,1.0885361730843135,2.6574402,2.8927197855084126,0.013882056809961796
HadGEM3-GC31-LL,25,1.075635272876619,2.6574402,2.858436414680297,0.014119520783424377
HadGEM3-GC31-LL,35,1.0696400286042584,2.6574402,2.842504411542106,0.01423182338476181
HadGEM3-GC31-LL,45,1.0743596123104906,2.6574402,2.8550464230103123,0.01414331141859293
HadGEM3-GC31-LL,55,1.091610903447494,2.6574402,2.9008906975796886,0.013826289214193821
HadGEM3-GC31-LL,65,1.124164740884092,2.6574402,2.9874005738479696,0.0132545605301857
HadGEM3-GC31-LL,75,1.182600069402398,2.6574402,3.1426889649527223,0.012307248078286648
HadGEM3-GC31-LL,85,1.2893069360737144,2.6574402,3.4262560820611188,0.010798961855471134
HadGEM3-GC31-LL,90,1.3721666173547729,2.6574402,3.646450730056591,0.00978955626487732
HadGEM3-GC31-LL,95,1.510677561494794,2.6574402,4.014535281154238,0.008349461480975151
HadGEM3-GC31-LL,98,1.6865712258115024,2.6574402,4.481962175634764,0.006861610803753138
HadGEM3-GC31-LL,99,1.8284428058671025,2.6574402,4.858977415712034,0.0058701056987047195
