model,percentile,gamma,dT_O,dT_L_x,q_L_x
INM-CM5-0,1,1.0605599784155475,1.3442688,1.425677689512694,0.01371021382510662
INM-CM5-0,2,1.0569219974433222,1.3442688,1.4207872651967377,0.013778245076537132
INM-CM5-0,5,1.0469125195383915,1.3442688,1.4073318363448502,0.013967865146696568
INM-CM5-0,10,1.0333760730995147,1.3442688,1.389135213734197,0.014230143278837204
INM-CM5-0,15,1.0241571737603123,1.3442688,1.3767425349821667,0.014412734657526016
INM-CM5-0,25,1.0122121610924029,1.3442688,1.360685227137091,0.014654266647994518
INM-CM5-0,35,1.0065202870979306,1.3442688,1.3530338185127908,0.014771374873816967
INM-CM5-0,45,1.0086150852383322,1.3442688,1.3558497902952307,0.0147281214594841
INM-CM5-0,55,1.0197388485850465,1.3442688,1.3708031183008023,0.014501415193080902
INM-CM5-0,65,1.0429033403454306,1.3442688,1.4019424218421437,0.014044836163520813
INM-CM5-0,75,1.0862297842782158,1.3442688,1.4601848086359361,0.013243133202195168
INM-CM5-0,85,1.1662906332714031,1.3442688,1.5678081100389891,0.011918432079255581
INM-CM5-0,90,1.1961182991764974,1.3442688,1.607904510692031,0.011470239609479904
INM-CM5-0,95,1.2239243132336324,1.3442688,1.645283267841399,0.011072099208831787
INM-CM5-0,98,1.2437333460918358,1.3442688,1.671911932670857,0.01079932227730751
INM-CM5-0,99,1.2492242465695758,1.3442688,1.6792931788669878,0.010725242085754871
