model,gamma,dT_O,dT_L_x
KACE-1-0-G,1.1446863886537821,2.361084,2.7027007172682267
KACE-1-0-G,1.1411204380213547,2.361084,2.694281208285212
KACE-1-0-G,1.1308703287331978,2.361084,2.670079839246694
KACE-1-0-G,1.1197114196790112,2.361084,2.6437327176213983
KACE-1-0-G,1.1139196881590092,2.361084,2.630057952997226
KACE-1-0-G,1.1081072072207885,2.361084,2.616334197253688
KACE-1-0-G,1.1109271018699032,2.361084,2.6229922053913985
KACE-1-0-G,1.1241715050611596,2.361084,2.6542633538558227
KACE-1-0-G,1.146889287001081,2.361084,2.70790194530966
KACE-1-0-G,1.1822736079022675,2.361084,2.791447299240317
KACE-1-0-G,1.238482848991775,2.361084,2.924162039028896
KACE-1-0-G,1.3368920048466006,2.361084,3.156514322371231
KACE-1-0-G,1.4170035895414599,2.361084,3.345664503208908
KACE-1-0-G,1.5549477600978086,2.361084,3.6713622772027743
KACE-1-0-G,1.7340710027375077,2.361084,4.094287299427486
KACE-1-0-G,1.861499523608667,2.361084,4.395156741200046
