model,percentile,gamma,dT_O,dT_L_x,q_L_x
KACE-1-0-G,1,1.1587367010117942,2.361084,2.735874684971731,0.013147352263331413
KACE-1-0-G,2,1.1549428413893414,2.361084,2.7269170637189117,0.013210531324148178
KACE-1-0-G,5,1.1439928623540536,2.361084,2.7010632434183584,0.01339523121714592
KACE-1-0-G,10,1.131379080375292,2.361084,2.6712810446088158,0.013612426817417145
KACE-1-0-G,15,1.1242277024465062,2.361084,2.6543960406032063,0.01373773068189621
KACE-1-0-G,25,1.1159169298420708,2.361084,2.634773608379236,0.01388536673039198
KACE-1-0-G,35,1.116464802264729,2.361084,2.6360671811904153,0.0138755664229393
KACE-1-0-G,45,1.1273606241810699,2.361084,2.661793131983937,0.013682641088962555
KACE-1-0-G,55,1.1476042098782437,2.361084,2.7095899382761632,0.013333926908671856
KACE-1-0-G,65,1.180361375121525,2.361084,2.7869323570174305,0.012794991955161095
KACE-1-0-G,75,1.233398987232348,2.361084,2.9121586143705014,0.011983091942965984
KACE-1-0-G,85,1.3274582748876018,2.361084,3.1342404935047186,0.010702784173190594
KACE-1-0-G,90,1.404467092300573,2.361084,3.316064780157406,0.009782238863408566
KACE-1-0-G,95,1.5377180322159578,2.361084,3.6306814423765825,0.008407186716794968
KACE-1-0-G,98,1.712143206230023,2.361084,4.042513929938408,0.006930700037628412
KACE-1-0-G,99,1.8369855745182053,2.361084,4.3372772482257425,0.0060460870154201984
