model,gamma,dT_O,dT_L_x
MIROC-ES2L,1.1151988796412713,1.6603088,1.8515745136185435
MIROC-ES2L,1.112817373754446,1.6603088,1.8476204784373957
MIROC-ES2L,1.1073010637693925,1.6603088,1.8384617004256836
MIROC-ES2L,1.1021509481375895,1.6603088,1.8299109181211834
MIROC-ES2L,1.1004415617325962,1.6603088,1.8270728088303727
MIROC-ES2L,1.102516260809201,1.6603088,1.8305174499646113
MIROC-ES2L,1.1122363882249924,1.6603088,1.846655863050171
MIROC-ES2L,1.1300437665113823,1.6603088,1.8762216099239932
MIROC-ES2L,1.157580259658671,1.6603088,1.9219406918175765
MIROC-ES2L,1.1995417227128273,1.6603088,1.991609678187267
MIROC-ES2L,1.2630008433098734,1.6603088,2.0969714145548037
MIROC-ES2L,1.3535360773634764,1.6603088,2.2472878603640605
MIROC-ES2L,1.4257270540905083,1.6603088,2.367147174304547
MIROC-ES2L,1.5456943271788213,1.6603088,2.566329893525076
MIROC-ES2L,1.669848519328469,1.6603088,2.772464191308027
MIROC-ES2L,1.7365042271334403,1.6603088,2.88313324954685
