model,percentile,gamma,dT_O,dT_L_x,q_L_x
MIROC-ES2L,1,1.1169984451883672,1.6603088,1.8545623481325637,0.014058444648981094
MIROC-ES2L,2,1.114525098061071,1.6603088,1.850455828131659,0.014103079214692116
MIROC-ES2L,5,1.1083385636379322,1.6603088,1.8401842705874187,0.014215595088899136
MIROC-ES2L,10,1.1023049465259664,1.6603088,1.8301666030005914,0.014326546341180801
MIROC-ES2L,15,1.0996379079653922,1.6603088,1.8257384954085307,0.014375978149473667
MIROC-ES2L,25,1.0998463751415133,1.6603088,1.8260846152955557,0.014372105710208416
MIROC-ES2L,35,1.1074951017486563,1.6603088,1.8387838633901894,0.014231032691895962
MIROC-ES2L,45,1.1228945938132118,1.6603088,1.864351775580501,0.013952834531664848
MIROC-ES2L,55,1.14754175466587,1.6603088,1.9052736736391849,0.013523112051188946
MIROC-ES2L,65,1.1853922991061498,1.6603088,1.9681172656581727,0.012897982262074947
MIROC-ES2L,75,1.2429301066118097,1.6603088,2.0636477937925255,0.012020631693303585
MIROC-ES2L,85,1.3255949755721292,1.6603088,2.200897003178191,0.010893454775214195
MIROC-ES2L,90,1.3924987346031974,1.6603088,2.311977903050553,0.010079175233840942
MIROC-ES2L,95,1.5049595451497029,1.6603088,2.498697576456049,0.008873555809259415
MIROC-ES2L,98,1.621333349647359,1.6603088,2.6919140281529867,0.007802069187164307
MIROC-ES2L,99,1.6829163913253309,1.6603088,2.7941608941816902,0.007295014336705208
