model,percentile,gamma,dT_O,dT_L_x,q_L_x
MIROC-ES2L,1,1.1312912640907586,1.6603088,1.8782928411330104,0.014058444648981094
MIROC-ES2L,2,1.1288000425746538,1.6603088,1.8741566441270723,0.014103079214692116
MIROC-ES2L,5,1.122568533062966,1.6603088,1.8638104140475333,0.014215595088899136
MIROC-ES2L,10,1.1164906861196868,1.6603088,1.8537193112825538,0.014326546341180801
MIROC-ES2L,15,1.1138039813247538,1.6603088,1.8492585516685243,0.014375978149473667
MIROC-ES2L,25,1.1140139882455602,1.6603088,1.8496072280072,0.014372105710208416
MIROC-ES2L,35,1.1217189098769618,1.6603088,1.8623997771951264,0.014231032691895962
MIROC-ES2L,45,1.1372297778018639,1.6603088,1.8881526077064792,0.013952834531664848
MIROC-ES2L,55,1.1620502936751507,1.6603088,1.929362328631437,0.013523112051188946
MIROC-ES2L,65,1.2001553100413367,1.6603088,1.9926284226283595,0.012897982262074947
MIROC-ES2L,75,1.258052706031365,1.6603088,2.0887559786876886,0.012020631693303585
MIROC-ES2L,85,1.3411767209896903,1.6603088,2.2267675122143276,0.010893454775214195
MIROC-ES2L,90,1.4084025090832448,1.6603088,2.338383079772991,0.010079175233840942
MIROC-ES2L,95,1.5213048252501056,1.6603088,2.5258357888452125,0.008873555809259415
MIROC-ES2L,98,1.638003927943516,1.6603088,2.7195923359991854,0.007802069187164307
MIROC-ES2L,99,1.6997050448775493,1.6603088,2.82203524341459,0.007295014336705208
