model,gamma,dT_O,dT_L_x
MPI-ESM1-2-LR,1.1675349397815797,1.4445496,1.6865621302475051
MPI-ESM1-2-LR,1.1630715428695464,1.4445496,1.6801145320235862
MPI-ESM1-2-LR,1.1532533923268025,1.4445496,1.6659317265843256
MPI-ESM1-2-LR,1.1429331458138778,1.4445496,1.651023618612179
MPI-ESM1-2-LR,1.137625676346192,1.4445496,1.6433567157156213
MPI-ESM1-2-LR,1.1342726104644023,1.4445496,1.638513045737308
MPI-ESM1-2-LR,1.143158251878768,1.4445496,1.6513487954881736
MPI-ESM1-2-LR,1.164986626239658,1.4445496,1.6828809649398475
MPI-ESM1-2-LR,1.2020337040942362,1.4445496,1.736397306435847
MPI-ESM1-2-LR,1.2577233711729636,1.4445496,1.8168437927385561
MPI-ESM1-2-LR,1.3352005918358112,1.4445496,1.9287634808561842
MPI-ESM1-2-LR,1.454766776459374,1.4445496,2.101482765027678
MPI-ESM1-2-LR,1.5501307782296403,1.4445496,2.2392407956393154
MPI-ESM1-2-LR,1.6642428274157672,1.4445496,2.4040813106463155
MPI-ESM1-2-LR,1.7482593788820693,1.4445496,2.5254473864603417
MPI-ESM1-2-LR,1.7942075449624282,1.4445496,2.5918217913924577
