model,percentile,gamma,dT_O,dT_L_x,q_L_x
MPI-ESM1-2-LR,1,1.183382941729557,1.4445496,1.7094553551222547,0.012109549716114998
MPI-ESM1-2-LR,2,1.1798038710443555,1.4445496,1.7042852099955752,0.012165217660367489
MPI-ESM1-2-LR,5,1.1708085284158474,1.4445496,1.691290991399701,0.012306631542742252
MPI-ESM1-2-LR,10,1.160202567423924,1.4445496,1.6759701546912025,0.012476182542741299
MPI-ESM1-2-LR,15,1.1542053267061774,1.4445496,1.6673068430112779,0.01257343590259552
MPI-ESM1-2-LR,25,1.1494384483761657,1.4445496,1.6604208508264109,0.01265146117657423
MPI-ESM1-2-LR,35,1.1559929639356492,1.4445496,1.6698891736560564,0.012544341385364532
MPI-ESM1-2-LR,45,1.174853257288391,1.4445496,1.6971338028746423,0.012242777273058891
MPI-ESM1-2-LR,55,1.2080449914374323,1.4445496,1.7450809091629462,0.011734929867088795
MPI-ESM1-2-LR,65,1.2586411481360797,1.4445496,1.8181695670835147,0.011012322269380093
MPI-ESM1-2-LR,75,1.3291485824763252,1.4445496,1.9200210531567425,0.010097093880176544
MPI-ESM1-2-LR,85,1.4393794837223683,1.4445496,2.0792550574593536,0.008845900185406208
MPI-ESM1-2-LR,90,1.5288306650309185,1.4445496,2.208471725638147,0.007963183335959911
MPI-ESM1-2-LR,95,1.6353532281705006,1.4445496,2.3623488516124054,0.007037972565740347
MPI-ESM1-2-LR,98,1.7123024675747367,1.4445496,2.473505844614099,0.006441236473619938
MPI-ESM1-2-LR,99,1.7541778143361735,1.4445496,2.5339968600281937,0.0061384933069348335
