model,gamma,dT_O,dT_L_x
MRI-ESM2-0,1.186322897301373,1.8265381,2.166863970823345
MRI-ESM2-0,1.1832971466325215,1.8265381,2.161337321945587
MRI-ESM2-0,1.174378489382987,1.8265381,2.145047054678471
MRI-ESM2-0,1.162744545058343,1.8265381,2.12379721211623
MRI-ESM2-0,1.1539741659071678,1.8265381,2.107777780445163
MRI-ESM2-0,1.1454147196764333,1.8265381,2.092143625789825
MRI-ESM2-0,1.1468376132793552,1.8265381,2.094742595167808
MRI-ESM2-0,1.1622459963984229,1.8265381,2.122886593994182
MRI-ESM2-0,1.197068934309815,1.8265381,2.1864920168432747
MRI-ESM2-0,1.2626535254869697,1.8265381,2.3062847714012715
MRI-ESM2-0,1.3747794975781735,1.8265381,2.5110871314253917
MRI-ESM2-0,1.5375963382789093,1.8265381,2.808478294286916
MRI-ESM2-0,1.6377421489819022,1.8265381,2.991398433091321
MRI-ESM2-0,1.7547934875116435,1.8265381,3.205197162571891
MRI-ESM2-0,1.8364094202557595,1.8265381,3.3542717732960567
MRI-ESM2-0,1.8782578418422282,1.8265381,3.430709509748604
