model,percentile,gamma,dT_O,dT_L_x,q_L_x
MRI-ESM2-0,1,1.1975823861609285,1.8265381,2.187429856211849,0.013317178934812546
MRI-ESM2-0,2,1.193972892178349,1.8265381,2.1808369779309467,0.013375741429626942
MRI-ESM2-0,5,1.1842081386233172,1.8265381,2.1630012835255705,0.013535959646105766
MRI-ESM2-0,10,1.1715017457978845,1.8265381,2.1397925729163507,0.013748442754149437
MRI-ESM2-0,15,1.16175634918501,1.8265381,2.121992234703325,0.013914559967815876
MRI-ESM2-0,25,1.1508633784450846,1.8265381,2.1020958086246657,0.014103568159043789
MRI-ESM2-0,35,1.1504620244924317,1.8265381,2.10136272033856,0.01411060057580471
MRI-ESM2-0,45,1.163591198964128,1.8265381,2.1253436577326608,0.013883071020245552
MRI-ESM2-0,55,1.195234405622809,1.8265381,2.183141180300915,0.013355233706533909
MRI-ESM2-0,65,1.2560323040936774,1.8265381,2.294190858257888,0.012415709905326366
MRI-ESM2-0,75,1.360581830646618,1.8265381,2.4851545518437956,0.010996424593031406
MRI-ESM2-0,85,1.5122705138244719,1.8265381,2.7622197110069746,0.00928612519055605
MRI-ESM2-0,90,1.6053857357012529,1.8265381,2.9322982114548686,0.008396340534090996
MRI-ESM2-0,95,1.7141304063302154,1.8265381,3.13092449553062,0.007479575928300619
MRI-ESM2-0,98,1.788826952618531,1.8265381,3.2673605832646415,0.006914428900927305
MRI-ESM2-0,99,1.8267917791965218,1.8265381,3.3367047854692347,0.00664490507915616
