model,percentile,gamma,dT_O,dT_L_x,q_L_x
MRI-ESM2-0,1,1.2057481398895273,1.8265381,2.2023449165123514,0.013317178934812546
MRI-ESM2-0,2,1.2021252662481707,1.8265381,2.195727599774928,0.013375741429626942
MRI-ESM2-0,5,1.1923239774243095,1.8265381,2.177825172309041,0.013535959646105766
MRI-ESM2-0,10,1.1795693011423303,1.8265381,2.15452827012684,0.013748442754149437
MRI-ESM2-0,15,1.1697863040845586,1.8265381,2.136659253268632,0.013914559967815876
MRI-ESM2-0,25,1.1588507209891024,1.8265381,2.116684994099065,0.014103568159043789
MRI-ESM2-0,35,1.1584477851934467,1.8265381,2.1159490165164465,0.01411060057580471
MRI-ESM2-0,45,1.1716282709432808,1.8265381,2.1400236759150255,0.013883071020245552
MRI-ESM2-0,55,1.2033914635616554,1.8265381,2.1980403574101253,0.013355233706533909
MRI-ESM2-0,65,1.264405296835024,1.8265381,2.3094844485109807,0.012415709905326366
MRI-ESM2-0,75,1.3692812621887918,1.8265381,2.5010443950039174,0.010996424593031406
MRI-ESM2-0,85,1.5213427244157443,1.8265381,2.778790449303157,0.00928612519055605
MRI-ESM2-0,90,1.6146276914076427,1.8265381,2.9491789956711023,0.008396340534090996
MRI-ESM2-0,95,1.7235137501288518,1.8265381,3.1480635304842277,0.007479575928300619
MRI-ESM2-0,98,1.7982719547140191,1.8265381,3.2846122394466306,0.006914428900927305
MRI-ESM2-0,99,1.8362570566781538,1.8265381,3.3539934754165075,0.00664490507915616
