model,gamma,dT_O,dT_L_x
NorESM2-LM,1.1981170020953067,1.6014099,1.9186764285137448
NorESM2-LM,1.1943319001541506,1.6014099,1.9126149287926681
NorESM2-LM,1.1838002624759214,1.6014099,1.895749459951539
NorESM2-LM,1.1685559704236086,1.6014099,1.871337099740474
NorESM2-LM,1.1588275932754284,1.6014099,1.8557579802644444
NorESM2-LM,1.1501384175149212,1.6014099,1.841843048178728
NorESM2-LM,1.1530075913603766,1.6014099,1.8464377715796614
NorESM2-LM,1.1660746158433526,1.6014099,1.8673634339502416
NorESM2-LM,1.188759365864877,1.6014099,1.903691017213736
NorESM2-LM,1.2236680140251692,1.6014099,1.9595940719732448
NorESM2-LM,1.276789802633953,1.6014099,2.0446638301570585
NorESM2-LM,1.356281000837973,1.6014099,2.1719618219238384
NorESM2-LM,1.4067750454016865,1.6014099,2.2528234847792104
NorESM2-LM,1.4676449429109424,1.6014099,2.3503011412625177
NorESM2-LM,1.523103992104584,1.6014099,2.4391138116858024
NorESM2-LM,1.5583461982667777,1.6014099,2.4955510295317804
