model,percentile,gamma,dT_O,dT_L_x,q_L_x
NorESM2-LM,1,1.2019123286112077,1.6014099,1.924754301970041,0.012694391421973705
NorESM2-LM,2,1.197907994287069,1.6014099,1.9183417213404557,0.012757064774632454
NorESM2-LM,5,1.1868572191299338,1.6014099,1.9006449006011452,0.012932218611240387
NorESM2-LM,10,1.1710982052324592,1.6014099,1.8754082597314918,0.013187715783715248
NorESM2-LM,15,1.1603446889766331,1.6014099,1.858187472339601,0.01336604356765747
NorESM2-LM,25,1.1496762333785058,1.6014099,1.8411029019270495,0.01354625727981329
NorESM2-LM,35,1.1504503730288844,1.6014099,1.8423426168271484,0.013533067889511585
NorESM2-LM,45,1.1610861298463084,1.6014099,1.8593748230885638,0.013353642076253891
NorESM2-LM,55,1.1811514760561792,1.6014099,1.8915076671559783,0.013023937121033669
NorESM2-LM,65,1.2131852574803754,1.6014099,1.9428068818631221,0.012520176358520985
NorESM2-LM,75,1.2625582381981995,1.6014099,2.021873261977155,0.011793803423643112
NorESM2-LM,85,1.3363102992681148,1.6014099,2.139980542719922,0.010808739811182022
NorESM2-LM,90,1.3826423030616197,1.6014099,2.2141770722816783,0.010243656113743782
NorESM2-LM,95,1.4376111068063393,1.6014099,2.302204658789629,0.009620475582778454
NorESM2-LM,98,1.48683974807629,1.6014099,2.381039892282877,0.009101483039557934
NorESM2-LM,99,1.5175081063347555,1.6014099,2.43015250481473,0.008795185014605522
