model,percentile,gamma,dT_O,dT_L_x,q_L_x
NorESM2-LM,1,1.2120940391896207,1.6014099,1.9410593940892464,0.012694391421973705
NorESM2-LM,2,1.2080720448211495,1.6014099,1.9346185324898324,0.012757064774632454
NorESM2-LM,5,1.1969719714166036,1.6014099,1.916842765049066,0.012932218611240387
NorESM2-LM,10,1.1811412287679068,1.6014099,1.8914912570470908,0.013187715783715248
NorESM2-LM,15,1.1703378038993104,1.6014099,1.8741905455086143,0.01336604356765747
NorESM2-LM,25,1.159619062513465,1.6014099,1.8570254469377816,0.01354625727981329
NorESM2-LM,35,1.1603968769468138,1.6014099,1.8582710466717094,0.013533067889511585
NorESM2-LM,45,1.1710827109759634,1.6014099,1.8753834470757464,0.013353642076253891
NorESM2-LM,55,1.1912404517899964,1.6014099,1.907664252776973,0.013023937121033669
NorESM2-LM,65,1.2234161028328927,1.6014099,1.9591906588960124,0.012520176358520985
NorESM2-LM,75,1.272994175915465,1.6014099,2.0385854759533673,0.011793803423643112
NorESM2-LM,85,1.3470219600561464,1.6014099,2.1571343023513174,0.010808739811182022
NorESM2-LM,90,1.39350841522265,1.6014099,2.2315781718708623,0.010243656113743782
NorESM2-LM,95,1.448641695710153,1.6014099,2.3198691530630264,0.009620475582778454
NorESM2-LM,98,1.4980003598557126,1.6014099,2.3989126064765007,0.009101483039557934
NorESM2-LM,99,1.5287414695921824,1.6014099,2.44814172394547,0.008795185014605522
