model,gamma,dT_O,dT_L_x
UKESM1-0-LL,1.1437315241827901,2.8931885,3.3090308928531202
UKESM1-0-LL,1.1394408255945883,2.8931885,3.2966170930407683
UKESM1-0-LL,1.12869404233694,2.8931885,3.265524623307748
UKESM1-0-LL,1.1159524111388779,2.8931885,3.228660682454273
UKESM1-0-LL,1.1081959813973365,2.8931885,3.206219869124988
UKESM1-0-LL,1.0998707976622217,2.8931885,3.1821335432821667
UKESM1-0-LL,1.0981938008944254,2.8931885,3.1772816755190414
UKESM1-0-LL,1.1081189877234858,2.8931885,3.2059971119132302
UKESM1-0-LL,1.1320229679356508,2.8931885,3.2751558325672936
UKESM1-0-LL,1.1744948442368481,2.8931885,3.39803497665534
UKESM1-0-LL,1.2486204686017168,2.8931885,3.6124943806230982
UKESM1-0-LL,1.377957156819993,2.8931885,3.9866897996043007
UKESM1-0-LL,1.467335031357987,2.8931885,4.245276838372067
UKESM1-0-LL,1.5919958035539534,2.8931885,4.605943950890557
UKESM1-0-LL,1.7363717755945745,2.8931885,5.023650852874804
UKESM1-0-LL,1.8431913961841357,2.8931885,5.332700150738885
