model,percentile,gamma,dT_O,dT_L_x,q_L_x
UKESM1-0-LL,1,1.1809762851648968,2.8931885,3.4167870070118003,0.012638022191822529
UKESM1-0-LL,2,1.1765683228589516,2.8931885,3.4040339411598057,0.01270805299282074
UKESM1-0-LL,5,1.1649119520517242,2.8931885,3.3703098631885995,0.01289579551666975
UKESM1-0-LL,10,1.1506055980071148,2.8931885,3.3289188841898074,0.013131419196724892
UKESM1-0-LL,15,1.141285291028044,2.8931885,3.30195347922149,0.013288101181387901
UKESM1-0-LL,25,1.1301249637930297,2.8931885,3.26966454880891,0.013479115441441536
UKESM1-0-LL,35,1.125979994902087,2.8931885,3.257672372480777,0.013551022857427597
UKESM1-0-LL,45,1.1334223811420086,2.8931885,3.279204598762676,0.013422287069261074
UKESM1-0-LL,55,1.1548766932171315,2.8931885,3.3412759677338326,0.013060463592410088
UKESM1-0-LL,65,1.1945342219644217,2.8931885,3.456012673843912,0.01242586225271225
UKESM1-0-LL,75,1.2649466164013698,2.8931885,3.6597290036863543,0.011397164314985275
UKESM1-0-LL,85,1.3884665112355026,2.8931885,4.017095342941677,0.009844638407230377
UKESM1-0-LL,90,1.4735121734775654,2.8931885,4.263148474915297,0.008926997892558575
UKESM1-0-LL,95,1.5921543946679582,2.8931885,4.6064027848777975,0.00781062338501215
UKESM1-0-LL,98,1.731046751169043,2.8931885,5.008244553444637,0.006698139011859894
UKESM1-0-LL,99,1.8349144472151016,2.8931885,5.308753377166589,0.005976258311420679
