,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,AWI-ESM-1-1-LR,tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18550101-18551231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18550101-18551231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18550101-18551231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,1855,1855
1,AWI-ESM-1-1-LR,tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18560101-18561231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18560101-18561231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18560101-18561231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,1856,1856
2,AWI-ESM-1-1-LR,tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18570101-18571231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18570101-18571231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18570101-18571231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,1857,1857
3,AWI-ESM-1-1-LR,tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18580101-18581231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18580101-18581231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18580101-18581231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,1858,1858
4,AWI-ESM-1-1-LR,tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18590101-18591231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18590101-18591231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18590101-18591231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,1859,1859
5,AWI-ESM-1-1-LR,tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18600101-18601231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18600101-18601231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18600101-18601231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,1860,1860
6,AWI-ESM-1-1-LR,tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18610101-18611231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18610101-18611231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18610101-18611231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,1861,1861
7,AWI-ESM-1-1-LR,tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18620101-18621231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18620101-18621231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18620101-18621231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,1862,1862
8,AWI-ESM-1-1-LR,tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18630101-18631231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18630101-18631231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18630101-18631231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,1863,1863
9,AWI-ESM-1-1-LR,tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18640101-18641231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18640101-18641231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/day/tas/gn/v20200212/tas_day_AWI-ESM-1-1-LR_piControl_r1i1p1f1_gn_18640101-18641231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,1864,1864
