,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,BCC-ESM1,ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190613/ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190613/ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,2000
1,BCC-ESM1,ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190613/ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,http://cmip.bcc.cma.cn/thredds/dodsC/cmip6_data/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190613/ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,2000
2,BCC-ESM1,ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190613/ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190613/ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,2000
3,BCC-ESM1,ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190613/ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190613/ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,2000
4,BCC-ESM1,ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190613/ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190613/ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,2000
5,BCC-ESM1,ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190613/ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190613/ps_Amon_BCC-ESM1_abrupt-4xCO2_r1i1p1f1_gn_185001-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,2000
6,BCC-ESM1,ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/ps/gn/v20181214/ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/ps/gn/v20181214/ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1850,2300
7,BCC-ESM1,ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/ps/gn/v20181214/ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,http://cmip.bcc.cma.cn/thredds/dodsC/cmip6_data/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/ps/gn/v20181214/ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1850,2300
8,BCC-ESM1,ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/ps/gn/v20181214/ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/ps/gn/v20181214/ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1850,2300
9,BCC-ESM1,ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/ps/gn/v20181214/ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/ps/gn/v20181214/ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1850,2300
10,BCC-ESM1,ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/ps/gn/v20181214/ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/ps/gn/v20181214/ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1850,2300
11,BCC-ESM1,ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/ps/gn/v20181214/ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/ps/gn/v20181214/ps_Amon_BCC-ESM1_piControl_r1i1p1f1_gn_185001-230012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1850,2300
12,BCC-ESM1,tas_day_BCC-ESM1_historical_r1i1p1f1_gn_18500101-20141231.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/BCC/BCC-ESM1/historical/r1i1p1f1/day/tas/gn/v20181220/tas_day_BCC-ESM1_historical_r1i1p1f1_gn_18500101-20141231.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/BCC/BCC-ESM1/historical/r1i1p1f1/day/tas/gn/v20181220/tas_day_BCC-ESM1_historical_r1i1p1f1_gn_18500101-20141231.nc,1,1,1,1,r1i1p1f1,historical,tas,gn,day,1850,2014
13,BCC-ESM1,tas_day_BCC-ESM1_historical_r3i1p1f1_gn_18500101-20141231.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/BCC/BCC-ESM1/historical/r3i1p1f1/day/tas/gn/v20181220/tas_day_BCC-ESM1_historical_r3i1p1f1_gn_18500101-20141231.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/BCC/BCC-ESM1/historical/r3i1p1f1/day/tas/gn/v20181220/tas_day_BCC-ESM1_historical_r3i1p1f1_gn_18500101-20141231.nc,3,1,1,1,r3i1p1f1,historical,tas,gn,day,1850,2014
14,BCC-ESM1,tas_day_BCC-ESM1_historical_r2i1p1f1_gn_18500101-20141231.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/BCC/BCC-ESM1/historical/r2i1p1f1/day/tas/gn/v20181220/tas_day_BCC-ESM1_historical_r2i1p1f1_gn_18500101-20141231.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/BCC/BCC-ESM1/historical/r2i1p1f1/day/tas/gn/v20181220/tas_day_BCC-ESM1_historical_r2i1p1f1_gn_18500101-20141231.nc,2,1,1,1,r2i1p1f1,historical,tas,gn,day,1850,2014
15,BCC-ESM1,tas_day_BCC-ESM1_historical_r2i1p1f1_gn_18500101-20141231.nc,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/CMIP/BCC/BCC-ESM1/historical/r2i1p1f1/day/tas/gn/v20181220/tas_day_BCC-ESM1_historical_r2i1p1f1_gn_18500101-20141231.nc,http://cmip.bcc.cma.cn/thredds/dodsC/cmip6_data/CMIP/BCC/BCC-ESM1/historical/r2i1p1f1/day/tas/gn/v20181220/tas_day_BCC-ESM1_historical_r2i1p1f1_gn_18500101-20141231.nc,2,1,1,1,r2i1p1f1,historical,tas,gn,day,1850,2014
16,BCC-ESM1,tas_day_BCC-ESM1_historical_r1i1p1f1_gn_18500101-20141231.nc,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/CMIP/BCC/BCC-ESM1/historical/r1i1p1f1/day/tas/gn/v20181220/tas_day_BCC-ESM1_historical_r1i1p1f1_gn_18500101-20141231.nc,http://cmip.bcc.cma.cn/thredds/dodsC/cmip6_data/CMIP/BCC/BCC-ESM1/historical/r1i1p1f1/day/tas/gn/v20181220/tas_day_BCC-ESM1_historical_r1i1p1f1_gn_18500101-20141231.nc,1,1,1,1,r1i1p1f1,historical,tas,gn,day,1850,2014
