,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,CAMS-CSM1-0,ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r1i1p1f1_gn_303001-317912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190708/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r1i1p1f1_gn_303001-317912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190708/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r1i1p1f1_gn_303001-317912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,3030,3179
1,CAMS-CSM1-0,ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r2i1p1f1_gn_303501-318412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r2i1p1f1/Amon/ps/gn/v20190726/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r2i1p1f1_gn_303501-318412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r2i1p1f1/Amon/ps/gn/v20190726/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r2i1p1f1_gn_303501-318412.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,ps,gn,mon,3035,3184
2,CAMS-CSM1-0,ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r1i1p1f1_gn_303001-317912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190708/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r1i1p1f1_gn_303001-317912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190708/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r1i1p1f1_gn_303001-317912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,3030,3179
3,CAMS-CSM1-0,ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r1i1p1f1_gn_303001-317912.nc,http://esg.camscma.cn/thredds/fileServer/cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190708/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r1i1p1f1_gn_303001-317912.nc,http://esg.camscma.cn/thredds/dodsC/cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190708/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r1i1p1f1_gn_303001-317912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,3030,3179
4,CAMS-CSM1-0,ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r2i1p1f1_gn_303501-318412.nc,http://esg.camscma.cn/thredds/fileServer/cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r2i1p1f1/Amon/ps/gn/v20190726/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r2i1p1f1_gn_303501-318412.nc,http://esg.camscma.cn/thredds/dodsC/cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r2i1p1f1/Amon/ps/gn/v20190726/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r2i1p1f1_gn_303501-318412.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,ps,gn,mon,3035,3184
5,CAMS-CSM1-0,ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r2i1p1f1_gn_303501-318412.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r2i1p1f1/Amon/ps/gn/v20190726/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r2i1p1f1_gn_303501-318412.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r2i1p1f1/Amon/ps/gn/v20190726/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r2i1p1f1_gn_303501-318412.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,ps,gn,mon,3035,3184
6,CAMS-CSM1-0,ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r1i1p1f1_gn_303001-317912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190708/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r1i1p1f1_gn_303001-317912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190708/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r1i1p1f1_gn_303001-317912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,3030,3179
7,CAMS-CSM1-0,ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r1i1p1f1_gn_303001-317912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190708/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r1i1p1f1_gn_303001-317912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190708/ps_Amon_CAMS-CSM1-0_abrupt-4xCO2_r1i1p1f1_gn_303001-317912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,3030,3179
8,CAMS-CSM1-0,ps_Amon_CAMS-CSM1-0_piControl_r1i1p1f1_gn_315001-339912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/Amon/ps/gn/v20190729/ps_Amon_CAMS-CSM1-0_piControl_r1i1p1f1_gn_315001-339912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/Amon/ps/gn/v20190729/ps_Amon_CAMS-CSM1-0_piControl_r1i1p1f1_gn_315001-339912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,3150,3399
9,CAMS-CSM1-0,ps_Amon_CAMS-CSM1-0_piControl_r1i1p1f1_gn_290001-314912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/Amon/ps/gn/v20190729/ps_Amon_CAMS-CSM1-0_piControl_r1i1p1f1_gn_290001-314912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/Amon/ps/gn/v20190729/ps_Amon_CAMS-CSM1-0_piControl_r1i1p1f1_gn_290001-314912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,2900,3149
