,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00010101-00110110.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00010101-00110110.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00010101-00110110.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1,11
1,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00101212-00210120.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00101212-00210120.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00101212-00210120.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,10,21
2,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00201222-00301231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00201222-00301231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00201222-00301231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,20,30
3,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00310101-00410110.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00310101-00410110.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00310101-00410110.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,31,41
4,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00401212-00510120.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00401212-00510120.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00401212-00510120.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,40,51
5,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00501222-00601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00501222-00601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00501222-00601231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,50,60
6,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00610101-00710110.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00610101-00710110.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00610101-00710110.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,61,71
7,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00701212-00810120.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00701212-00810120.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00701212-00810120.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,70,81
8,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00801222-00901231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00801222-00901231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00801222-00901231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,80,90
9,CESM2-WACCM-FV2,tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00910101-01010110.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00910101-01010110.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200403/tas_day_CESM2-WACCM-FV2_abrupt-4xCO2_r1i1p1f1_gn_00910101-01010110.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,91,101
