model,filename,download_url,opendap_url,Unnamed: 0,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
CESM2-WACCM,ps_Emon_CESM2-WACCM_historical_r3i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r3i1p1f1/Emon/ps/gn/v20190227/ps_Emon_CESM2-WACCM_historical_r3i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r3i1p1f1/Emon/ps/gn/v20190227/ps_Emon_CESM2-WACCM_historical_r3i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CESM2-WACCM,ps_AERmon_CESM2-WACCM_historical_r3i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r3i1p1f1/AERmon/ps/gn/v20190227/ps_AERmon_CESM2-WACCM_historical_r3i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r3i1p1f1/AERmon/ps/gn/v20190227/ps_AERmon_CESM2-WACCM_historical_r3i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CESM2-WACCM,ps_Amon_CESM2-WACCM_historical_r2i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r2i1p1f1/Amon/ps/gn/v20190227/ps_Amon_CESM2-WACCM_historical_r2i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r2i1p1f1/Amon/ps/gn/v20190227/ps_Amon_CESM2-WACCM_historical_r2i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CESM2-WACCM,ps_Emon_CESM2-WACCM_historical_r2i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r2i1p1f1/Emon/ps/gn/v20190227/ps_Emon_CESM2-WACCM_historical_r2i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r2i1p1f1/Emon/ps/gn/v20190227/ps_Emon_CESM2-WACCM_historical_r2i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CESM2-WACCM,ps_AERmon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/AERmon/ps/gn/v20190227/ps_AERmon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/AERmon/ps/gn/v20190227/ps_AERmon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CESM2-WACCM,ps_Emon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/Emon/ps/gn/v20190227/ps_Emon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/Emon/ps/gn/v20190227/ps_Emon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CESM2-WACCM,ps_Amon_CESM2-WACCM_historical_r3i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r3i1p1f1/Amon/ps/gn/v20190227/ps_Amon_CESM2-WACCM_historical_r3i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r3i1p1f1/Amon/ps/gn/v20190227/ps_Amon_CESM2-WACCM_historical_r3i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CESM2-WACCM,ps_Amon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/Amon/ps/gn/v20190227/ps_Amon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/Amon/ps/gn/v20190227/ps_Amon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CESM2-WACCM,ps_AERmon_CESM2-WACCM_historical_r2i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r2i1p1f1/AERmon/ps/gn/v20190227/ps_AERmon_CESM2-WACCM_historical_r2i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r2i1p1f1/AERmon/ps/gn/v20190227/ps_AERmon_CESM2-WACCM_historical_r2i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CESM2-WACCM,ps_AERmon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/AERmon/ps/gn/v20190227/ps_AERmon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,http://esgf-data.ucar.edu/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r1i1p1f1/AERmon/ps/gn/v20190227/ps_AERmon_CESM2-WACCM_historical_r1i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
