model,filename,download_url,opendap_url,Unnamed: 0,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
CESM2,ps_Emon_CESM2_historical_r11i1p1f1_gn_185001-189912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Emon/ps/gn/v20190514/ps_Emon_CESM2_historical_r11i1p1f1_gn_185001-189912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Emon/ps/gn/v20190514/ps_Emon_CESM2_historical_r11i1p1f1_gn_185001-189912.nc,,,,,,,,,,,,
CESM2,ps_Emon_CESM2_historical_r11i1p1f1_gn_190001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Emon/ps/gn/v20190514/ps_Emon_CESM2_historical_r11i1p1f1_gn_190001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Emon/ps/gn/v20190514/ps_Emon_CESM2_historical_r11i1p1f1_gn_190001-194912.nc,,,,,,,,,,,,
CESM2,ps_Emon_CESM2_historical_r11i1p1f1_gn_195001-199912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Emon/ps/gn/v20190514/ps_Emon_CESM2_historical_r11i1p1f1_gn_195001-199912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Emon/ps/gn/v20190514/ps_Emon_CESM2_historical_r11i1p1f1_gn_195001-199912.nc,,,,,,,,,,,,
CESM2,ps_Emon_CESM2_historical_r11i1p1f1_gn_200001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Emon/ps/gn/v20190514/ps_Emon_CESM2_historical_r11i1p1f1_gn_200001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Emon/ps/gn/v20190514/ps_Emon_CESM2_historical_r11i1p1f1_gn_200001-201412.nc,,,,,,,,,,,,
CESM2,ps_Amon_CESM2_historical_r11i1p1f1_gn_185001-189912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Amon/ps/gn/v20190514/ps_Amon_CESM2_historical_r11i1p1f1_gn_185001-189912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Amon/ps/gn/v20190514/ps_Amon_CESM2_historical_r11i1p1f1_gn_185001-189912.nc,,,,,,,,,,,,
CESM2,ps_Amon_CESM2_historical_r11i1p1f1_gn_190001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Amon/ps/gn/v20190514/ps_Amon_CESM2_historical_r11i1p1f1_gn_190001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Amon/ps/gn/v20190514/ps_Amon_CESM2_historical_r11i1p1f1_gn_190001-194912.nc,,,,,,,,,,,,
CESM2,ps_Amon_CESM2_historical_r11i1p1f1_gn_195001-199912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Amon/ps/gn/v20190514/ps_Amon_CESM2_historical_r11i1p1f1_gn_195001-199912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Amon/ps/gn/v20190514/ps_Amon_CESM2_historical_r11i1p1f1_gn_195001-199912.nc,,,,,,,,,,,,
CESM2,ps_Amon_CESM2_historical_r11i1p1f1_gn_200001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Amon/ps/gn/v20190514/ps_Amon_CESM2_historical_r11i1p1f1_gn_200001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/Amon/ps/gn/v20190514/ps_Amon_CESM2_historical_r11i1p1f1_gn_200001-201412.nc,,,,,,,,,,,,
CESM2,ps_AERmon_CESM2_historical_r11i1p1f1_gn_185001-189912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/AERmon/ps/gn/v20190514/ps_AERmon_CESM2_historical_r11i1p1f1_gn_185001-189912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/AERmon/ps/gn/v20190514/ps_AERmon_CESM2_historical_r11i1p1f1_gn_185001-189912.nc,,,,,,,,,,,,
CESM2,ps_AERmon_CESM2_historical_r11i1p1f1_gn_190001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/AERmon/ps/gn/v20190514/ps_AERmon_CESM2_historical_r11i1p1f1_gn_190001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/historical/r11i1p1f1/AERmon/ps/gn/v20190514/ps_AERmon_CESM2_historical_r11i1p1f1_gn_190001-194912.nc,,,,,,,,,,,,
