,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,CIESM,ps_Amon_CIESM_abrupt-4xCO2_r1i1p1f1_gr_000101-015012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/THU/CIESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_abrupt-4xCO2_r1i1p1f1_gr_000101-015012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/THU/CIESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_abrupt-4xCO2_r1i1p1f1_gr_000101-015012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gr,mon,1,150
1,CIESM,ps_Amon_CIESM_abrupt-4xCO2_r1i1p1f1_gr_000101-015012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/THU/CIESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_abrupt-4xCO2_r1i1p1f1_gr_000101-015012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/THU/CIESM/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_abrupt-4xCO2_r1i1p1f1_gr_000101-015012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gr,mon,1,150
2,CIESM,ps_Amon_CIESM_piControl_r1i1p1f1_gr_000101-005012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_000101-005012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_000101-005012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1,50
3,CIESM,ps_Amon_CIESM_piControl_r1i1p1f1_gr_005101-010012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_005101-010012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_005101-010012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,51,100
4,CIESM,ps_Amon_CIESM_piControl_r1i1p1f1_gr_010101-015012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_010101-015012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_010101-015012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,101,150
5,CIESM,ps_Amon_CIESM_piControl_r1i1p1f1_gr_015101-020012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_015101-020012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_015101-020012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,151,200
6,CIESM,ps_Amon_CIESM_piControl_r1i1p1f1_gr_020101-025012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_020101-025012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_020101-025012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,201,250
7,CIESM,ps_Amon_CIESM_piControl_r1i1p1f1_gr_025101-030012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_025101-030012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_025101-030012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,251,300
8,CIESM,ps_Amon_CIESM_piControl_r1i1p1f1_gr_030101-035012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_030101-035012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_030101-035012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,301,350
9,CIESM,ps_Amon_CIESM_piControl_r1i1p1f1_gr_035101-040012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_035101-040012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/THU/CIESM/piControl/r1i1p1f1/Amon/ps/gr/v20200417/ps_Amon_CIESM_piControl_r1i1p1f1_gr_035101-040012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,351,400
