,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,CMCC-CM2-HR4,tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19130101-19221231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19130101-19221231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19130101-19221231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1913,1922
1,CMCC-CM2-HR4,tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19230101-19321231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19230101-19321231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19230101-19321231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1923,1932
2,CMCC-CM2-HR4,tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19330101-19421231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19330101-19421231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19330101-19421231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1933,1942
3,CMCC-CM2-HR4,tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19430101-19521231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19430101-19521231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19430101-19521231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1943,1952
4,CMCC-CM2-HR4,tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19530101-19621231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19530101-19621231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19530101-19621231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1953,1962
5,CMCC-CM2-HR4,tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19630101-19721231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19630101-19721231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19630101-19721231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1963,1972
6,CMCC-CM2-HR4,tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19730101-19821231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19730101-19821231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19730101-19821231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1973,1982
7,CMCC-CM2-HR4,tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19830101-19921231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19830101-19921231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19830101-19921231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1983,1992
8,CMCC-CM2-HR4,tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19930101-20021231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19930101-20021231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_19930101-20021231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1993,2002
9,CMCC-CM2-HR4,tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_20030101-20121231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_20030101-20121231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_20030101-20121231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,2003,2012
10,CMCC-CM2-HR4,tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_20130101-20221231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_20130101-20221231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_20130101-20221231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,2013,2022
11,CMCC-CM2-HR4,tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_20230101-20321231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_20230101-20321231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-HR4/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210624/tas_day_CMCC-CM2-HR4_abrupt-4xCO2_r1i1p1f1_gn_20230101-20321231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,2023,2032
