,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,CMCC-CM2-SR5,tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18500101-18741231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18500101-18741231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18500101-18741231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1850,1874
1,CMCC-CM2-SR5,tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18750101-18991231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18750101-18991231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18750101-18991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1875,1899
2,CMCC-CM2-SR5,tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_20000101-20141231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_20000101-20141231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_20000101-20141231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,2000,2014
3,CMCC-CM2-SR5,tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18500101-18741231.nc,http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18500101-18741231.nc,http://esgf-node2.cmcc.it/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18500101-18741231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1850,1874
4,CMCC-CM2-SR5,tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18750101-18991231.nc,http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18750101-18991231.nc,http://esgf-node2.cmcc.it/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_18750101-18991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1875,1899
5,CMCC-CM2-SR5,tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_19000101-19241231.nc,http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_19000101-19241231.nc,http://esgf-node2.cmcc.it/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_19000101-19241231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1900,1924
6,CMCC-CM2-SR5,tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_19250101-19491231.nc,http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_19250101-19491231.nc,http://esgf-node2.cmcc.it/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_19250101-19491231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1925,1949
7,CMCC-CM2-SR5,tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_19500101-19741231.nc,http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_19500101-19741231.nc,http://esgf-node2.cmcc.it/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_19500101-19741231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1950,1974
8,CMCC-CM2-SR5,tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_19750101-19991231.nc,http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_19750101-19991231.nc,http://esgf-node2.cmcc.it/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_19750101-19991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1975,1999
9,CMCC-CM2-SR5,tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_20000101-20141231.nc,http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_20000101-20141231.nc,http://esgf-node2.cmcc.it/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20200616/tas_day_CMCC-CM2-SR5_abrupt-4xCO2_r1i1p1f1_gn_20000101-20141231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,2000,2014
