,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,CNRM-CM6-1-HR,tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_18500101-18991231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_18500101-18991231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_18500101-18991231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,gr,day,1850,1899
1,CNRM-CM6-1-HR,tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19000101-19491231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19000101-19491231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19000101-19491231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,gr,day,1900,1949
2,CNRM-CM6-1-HR,tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19500101-19991231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19500101-19991231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19500101-19991231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,gr,day,1950,1999
3,CNRM-CM6-1-HR,tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_18500101-18991231.nc,http://esg1.umr-cnrm.fr/thredds/fileServer/CMIP6_CNRM/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_18500101-18991231.nc,http://esg1.umr-cnrm.fr/thredds/dodsC/CMIP6_CNRM/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_18500101-18991231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,gr,day,1850,1899
4,CNRM-CM6-1-HR,tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19000101-19491231.nc,http://esg1.umr-cnrm.fr/thredds/fileServer/CMIP6_CNRM/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19000101-19491231.nc,http://esg1.umr-cnrm.fr/thredds/dodsC/CMIP6_CNRM/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19000101-19491231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,gr,day,1900,1949
5,CNRM-CM6-1-HR,tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19500101-19991231.nc,http://esg1.umr-cnrm.fr/thredds/fileServer/CMIP6_CNRM/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19500101-19991231.nc,http://esg1.umr-cnrm.fr/thredds/dodsC/CMIP6_CNRM/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19500101-19991231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,gr,day,1950,1999
6,CNRM-CM6-1-HR,tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_18500101-18991231.nc,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_18500101-18991231.nc,http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_18500101-18991231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,gr,day,1850,1899
7,CNRM-CM6-1-HR,tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19000101-19491231.nc,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19000101-19491231.nc,http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19000101-19491231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,gr,day,1900,1949
8,CNRM-CM6-1-HR,tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19500101-19991231.nc,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19500101-19991231.nc,http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20191021/tas_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_19500101-19991231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,gr,day,1950,1999
9,CNRM-CM6-1-HR,huss_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_18500101-18741231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_18500101-18741231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/day/huss/gr/v20191021/huss_day_CNRM-CM6-1-HR_abrupt-4xCO2_r1i1p1f2_gr_18500101-18741231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,huss,gr,day,1850,1874
