model,filename,download_url,opendap_url,Unnamed: 0,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
CanESM5,ps_AERmon_CanESM5_historical_r15i1p2f1_gn_185001-201412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r15i1p2f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r15i1p2f1_gn_185001-201412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r15i1p2f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r15i1p2f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_Amon_CanESM5_historical_r15i1p2f1_gn_185001-201412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r15i1p2f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r15i1p2f1_gn_185001-201412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r15i1p2f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r15i1p2f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_Amon_CanESM5_historical_r24i1p2f1_gn_185001-201412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r24i1p2f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r24i1p2f1_gn_185001-201412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r24i1p2f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r24i1p2f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_Amon_CanESM5_historical_r24i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r24i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r24i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r24i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r24i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_AERmon_CanESM5_historical_r2i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r2i1p1f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r2i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r2i1p1f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r2i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_AERmon_CanESM5_historical_r10i1p2f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r10i1p2f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r10i1p2f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r10i1p2f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r10i1p2f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_AERmon_CanESM5_historical_r7i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r7i1p1f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r7i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r7i1p1f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r7i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_Amon_CanESM5_historical_r13i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r13i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r13i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r13i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r13i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_AERmon_CanESM5_historical_r9i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r9i1p1f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r9i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r9i1p1f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r9i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_AERmon_CanESM5_historical_r9i1p2f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r9i1p2f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r9i1p2f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r9i1p2f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r9i1p2f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_Amon_CanESM5_historical_r12i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r12i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r12i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r12i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r12i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_Amon_CanESM5_historical_r4i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r4i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r4i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r4i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r4i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_AERmon_CanESM5_historical_r22i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r22i1p1f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r22i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r22i1p1f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r22i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_AERmon_CanESM5_historical_r8i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r8i1p1f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r8i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r8i1p1f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r8i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_Amon_CanESM5_historical_r20i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r20i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r20i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r20i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r20i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_Amon_CanESM5_historical_r10i1p2f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r10i1p2f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r10i1p2f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r10i1p2f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r10i1p2f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_Amon_CanESM5_historical_r21i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r21i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r21i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r21i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r21i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_Amon_CanESM5_historical_r19i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r19i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r19i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r19i1p1f1/Amon/ps/gn/v20190429/ps_Amon_CanESM5_historical_r19i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_AERmon_CanESM5_historical_r3i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r3i1p1f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r3i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r3i1p1f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r3i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_AERmon_CanESM5_historical_r6i1p2f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r6i1p2f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r6i1p2f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r6i1p2f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r6i1p2f1_gn_185001-201412.nc,,,,,,,,,,,,
CanESM5,ps_AERmon_CanESM5_historical_r11i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r11i1p1f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r11i1p1f1_gn_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r11i1p1f1/AERmon/ps/gn/v20190429/ps_AERmon_CanESM5_historical_r11i1p1f1_gn_185001-201412.nc,,,,,,,,,,,,
