,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,E3SM-1-1,ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_185001-187412.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_185001-187412.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_185001-187412.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1850,1874
1,E3SM-1-1,ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_187501-189912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_187501-189912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_187501-189912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1875,1899
2,E3SM-1-1,ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_190001-192412.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_190001-192412.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_190001-192412.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1900,1924
3,E3SM-1-1,ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_192501-194912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_192501-194912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_192501-194912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1925,1949
4,E3SM-1-1,ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_195001-197412.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_195001-197412.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_195001-197412.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1950,1974
5,E3SM-1-1,ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_197501-199912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_197501-199912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_197501-199912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1975,1999
6,E3SM-1-1,ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_200001-201412.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_200001-201412.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_200001-201412.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,2000,2014
7,E3SM-1-1,ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_201501-210012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_201501-210012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_201501-210012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,2015,2100
8,E3SM-1-1,ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_185001-187412.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_185001-187412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_185001-187412.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1850,1874
9,E3SM-1-1,ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_187501-189912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_187501-189912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/ps/gr/v20201123/ps_Amon_E3SM-1-1_piControl_r1i1p1f1_gr_187501-189912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1875,1899
