,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,EC-Earth3-LR,tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22190101-22191231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22190101-22191231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22190101-22191231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2219,2219
1,EC-Earth3-LR,tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22200101-22201231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22200101-22201231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22200101-22201231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2220,2220
2,EC-Earth3-LR,tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22210101-22211231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22210101-22211231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22210101-22211231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2221,2221
3,EC-Earth3-LR,tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22220101-22221231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22220101-22221231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22220101-22221231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2222,2222
4,EC-Earth3-LR,tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22230101-22231231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22230101-22231231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22230101-22231231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2223,2223
5,EC-Earth3-LR,tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22240101-22241231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22240101-22241231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22240101-22241231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2224,2224
6,EC-Earth3-LR,tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22250101-22251231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22250101-22251231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22250101-22251231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2225,2225
7,EC-Earth3-LR,tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22260101-22261231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22260101-22261231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22260101-22261231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2226,2226
8,EC-Earth3-LR,tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22270101-22271231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22270101-22271231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22270101-22271231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2227,2227
9,EC-Earth3-LR,tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22280101-22281231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22280101-22281231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/day/tas/gr/v20200409/tas_day_EC-Earth3-LR_piControl_r1i1p1f1_gr_22280101-22281231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2228,2228
