,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04630101-04631231.nc,http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04630101-04631231.nc,http://esg.lasg.ac.cn/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04630101-04631231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,463,463
1,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04640101-04641231.nc,http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04640101-04641231.nc,http://esg.lasg.ac.cn/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04640101-04641231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,464,464
2,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04650101-04651231.nc,http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04650101-04651231.nc,http://esg.lasg.ac.cn/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04650101-04651231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,465,465
3,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04660101-04661231.nc,http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04660101-04661231.nc,http://esg.lasg.ac.cn/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04660101-04661231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,466,466
4,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04670101-04671231.nc,http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04670101-04671231.nc,http://esg.lasg.ac.cn/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04670101-04671231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,467,467
5,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04680101-04681231.nc,http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04680101-04681231.nc,http://esg.lasg.ac.cn/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04680101-04681231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,468,468
6,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04690101-04691231.nc,http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04690101-04691231.nc,http://esg.lasg.ac.cn/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04690101-04691231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,469,469
7,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04700101-04701231.nc,http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04700101-04701231.nc,http://esg.lasg.ac.cn/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04700101-04701231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,470,470
8,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04710101-04711231.nc,http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04710101-04711231.nc,http://esg.lasg.ac.cn/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04710101-04711231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,471,471
9,FGOALS-g3,tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04720101-04721231.nc,http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04720101-04721231.nc,http://esg.lasg.ac.cn/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CAS/FGOALS-g3/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191231/tas_day_FGOALS-g3_abrupt-4xCO2_r1i1p1f1_gn_04720101-04721231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,472,472
