,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,FIO-ESM-2-0,ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r2i1p1f1_gn_000101-015012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/abrupt-4xCO2/r2i1p1f1/Amon/ps/gn/v20200924/ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r2i1p1f1_gn_000101-015012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/abrupt-4xCO2/r2i1p1f1/Amon/ps/gn/v20200924/ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r2i1p1f1_gn_000101-015012.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,ps,gn,mon,1,150
1,FIO-ESM-2-0,ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20200924/ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20200924/ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1,150
2,FIO-ESM-2-0,ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r3i1p1f1_gn_000101-015012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/abrupt-4xCO2/r3i1p1f1/Amon/ps/gn/v20200924/ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r3i1p1f1_gn_000101-015012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/abrupt-4xCO2/r3i1p1f1/Amon/ps/gn/v20200924/ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r3i1p1f1_gn_000101-015012.nc,3,1,1,1,r3i1p1f1,abrupt-4xCO2,ps,gn,mon,1,150
3,FIO-ESM-2-0,ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20200924/ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20200924/ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1,150
4,FIO-ESM-2-0,ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,http://cmip.fio.org.cn/thredds/fileServer/esg_dataroot/cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20200924/ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,http://cmip.fio.org.cn/thredds/dodsC/esg_dataroot/cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20200924/ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1,150
5,FIO-ESM-2-0,ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r2i1p1f1_gn_000101-015012.nc,http://cmip.fio.org.cn/thredds/fileServer/esg_dataroot/cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/abrupt-4xCO2/r2i1p1f1/Amon/ps/gn/v20200924/ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r2i1p1f1_gn_000101-015012.nc,http://cmip.fio.org.cn/thredds/dodsC/esg_dataroot/cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/abrupt-4xCO2/r2i1p1f1/Amon/ps/gn/v20200924/ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r2i1p1f1_gn_000101-015012.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,ps,gn,mon,1,150
6,FIO-ESM-2-0,ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r3i1p1f1_gn_000101-015012.nc,http://cmip.fio.org.cn/thredds/fileServer/esg_dataroot/cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/abrupt-4xCO2/r3i1p1f1/Amon/ps/gn/v20200924/ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r3i1p1f1_gn_000101-015012.nc,http://cmip.fio.org.cn/thredds/dodsC/esg_dataroot/cmip6/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/abrupt-4xCO2/r3i1p1f1/Amon/ps/gn/v20200924/ps_Amon_FIO-ESM-2-0_abrupt-4xCO2_r3i1p1f1_gn_000101-015012.nc,3,1,1,1,r3i1p1f1,abrupt-4xCO2,ps,gn,mon,1,150
7,FIO-ESM-2-0,tas_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03001231-04010109.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/tas/gn/v20191009/tas_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03001231-04010109.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/tas/gn/v20191009/tas_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03001231-04010109.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,300,401
8,FIO-ESM-2-0,tas_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03010101-03121231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/tas/gn/v20191009/tas_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03010101-03121231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/tas/gn/v20191009/tas_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03010101-03121231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,301,312
9,FIO-ESM-2-0,tas_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03130101-03241231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/tas/gn/v20191009/tas_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03130101-03241231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/FIO-QLNM/FIO-ESM-2-0/piControl/r1i1p1f1/day/tas/gn/v20191009/tas_day_FIO-ESM-2-0_piControl_r1i1p1f1_gn_03130101-03241231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,313,324
