model,filename,download_url,opendap_url,Unnamed: 0,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
GFDL-CM4,ps_Emon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/Emon/ps/gr1/v20180701/ps_Emon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/Emon/ps/gr1/v20180701/ps_Emon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-CM4,ps_AERmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-CM4,ps_CFmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-CM4,ps_AERmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-CM4,ps_Emon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/Emon/ps/gr1/v20180701/ps_Emon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/Emon/ps/gr1/v20180701/ps_Emon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-CM4,ps_CFmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-CM4,ps_AERmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-CM4,ps_CFmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-CM4,ps_Emon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/Emon/ps/gr1/v20180701/ps_Emon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/Emon/ps/gr1/v20180701/ps_Emon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-CM4,ps_AERmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-CM4,ps_AERmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/fileServer/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/dodsC/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-CM4,ps_CFmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/fileServer/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/dodsC/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-CM4,ps_Emon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/fileServer/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/Emon/ps/gr1/v20180701/ps_Emon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/dodsC/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp245/r1i1p1f1/Emon/ps/gr1/v20180701/ps_Emon_GFDL-CM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-CM4,ps_AERmon_GFDL-CM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/historical/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/historical/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-CM4_historical_r1i1p1f1_gr1_185001-194912.nc,,,,,,,,,,,,
