,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,GISS-E2-1-G-CC,ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_185001-190012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_185001-190012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_185001-190012.nc,1,1,1,1,r1i1p1f1,historical,ps,gn,mon,1850,1900
1,GISS-E2-1-G-CC,ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_190101-195012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_190101-195012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_190101-195012.nc,1,1,1,1,r1i1p1f1,historical,ps,gn,mon,1901,1950
2,GISS-E2-1-G-CC,ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_195101-200012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_195101-200012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_195101-200012.nc,1,1,1,1,r1i1p1f1,historical,ps,gn,mon,1951,2000
3,GISS-E2-1-G-CC,ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_200101-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_200101-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_200101-201412.nc,1,1,1,1,r1i1p1f1,historical,ps,gn,mon,2001,2014
4,GISS-E2-1-G-CC,ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_185001-190012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_185001-190012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_185001-190012.nc,1,1,1,1,r1i1p1f1,historical,ps,gn,mon,1850,1900
5,GISS-E2-1-G-CC,ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_190101-195012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_190101-195012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_190101-195012.nc,1,1,1,1,r1i1p1f1,historical,ps,gn,mon,1901,1950
6,GISS-E2-1-G-CC,ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_195101-200012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_195101-200012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_195101-200012.nc,1,1,1,1,r1i1p1f1,historical,ps,gn,mon,1951,2000
7,GISS-E2-1-G-CC,ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_200101-201412.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_200101-201412.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G-CC/historical/r1i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G-CC_historical_r1i1p1f1_gn_200101-201412.nc,1,1,1,1,r1i1p1f1,historical,ps,gn,mon,2001,2014
10,GISS-E2-1-G-CC,ps_Amon_GISS-E2-1-G-CC_ssp245_r102i1p1f1_gn_201501-205012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G-CC/ssp245/r102i1p1f1/Amon/ps/gn/v20220115/ps_Amon_GISS-E2-1-G-CC_ssp245_r102i1p1f1_gn_201501-205012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G-CC/ssp245/r102i1p1f1/Amon/ps/gn/v20220115/ps_Amon_GISS-E2-1-G-CC_ssp245_r102i1p1f1_gn_201501-205012.nc,102,1,1,1,r102i1p1f1,ssp245,ps,gn,mon,2015,2050
11,GISS-E2-1-G-CC,ps_Amon_GISS-E2-1-G-CC_ssp245_r102i1p1f1_gn_205101-209912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G-CC/ssp245/r102i1p1f1/Amon/ps/gn/v20220115/ps_Amon_GISS-E2-1-G-CC_ssp245_r102i1p1f1_gn_205101-209912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G-CC/ssp245/r102i1p1f1/Amon/ps/gn/v20220115/ps_Amon_GISS-E2-1-G-CC_ssp245_r102i1p1f1_gn_205101-209912.nc,102,1,1,1,r102i1p1f1,ssp245,ps,gn,mon,2051,2099
