,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,GISS-E2-1-G,ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p3f1_gn_185001-190012.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r1i1p3f1/Amon/ps/gn/v20190702/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p3f1_gn_185001-190012.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r1i1p3f1/Amon/ps/gn/v20190702/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p3f1_gn_185001-190012.nc,1,1,3,1,r1i1p3f1,abrupt-4xCO2,ps,gn,mon,1850,1900
1,GISS-E2-1-G,ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p3f1_gn_190101-195012.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r1i1p3f1/Amon/ps/gn/v20190702/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p3f1_gn_190101-195012.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r1i1p3f1/Amon/ps/gn/v20190702/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p3f1_gn_190101-195012.nc,1,1,3,1,r1i1p3f1,abrupt-4xCO2,ps,gn,mon,1901,1950
2,GISS-E2-1-G,ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p3f1_gn_195101-200012.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r1i1p3f1/Amon/ps/gn/v20190702/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p3f1_gn_195101-200012.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r1i1p3f1/Amon/ps/gn/v20190702/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p3f1_gn_195101-200012.nc,1,1,3,1,r1i1p3f1,abrupt-4xCO2,ps,gn,mon,1951,2000
3,GISS-E2-1-G,ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r102i1p1f1_gn_185001-190012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r102i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r102i1p1f1_gn_185001-190012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r102i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r102i1p1f1_gn_185001-190012.nc,102,1,1,1,r102i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,1900
4,GISS-E2-1-G,ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r102i1p1f1_gn_190101-195012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r102i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r102i1p1f1_gn_190101-195012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r102i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r102i1p1f1_gn_190101-195012.nc,102,1,1,1,r102i1p1f1,abrupt-4xCO2,ps,gn,mon,1901,1950
5,GISS-E2-1-G,ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r102i1p1f1_gn_195101-200012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r102i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r102i1p1f1_gn_195101-200012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r102i1p1f1/Amon/ps/gn/v20190815/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r102i1p1f1_gn_195101-200012.nc,102,1,1,1,r102i1p1f1,abrupt-4xCO2,ps,gn,mon,1951,2000
6,GISS-E2-1-G,ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p1f3_gn_290001-294912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20190916/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p1f3_gn_290001-294912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20190916/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p1f3_gn_290001-294912.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,gn,mon,2900,2949
7,GISS-E2-1-G,ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p1f3_gn_295001-299912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20190916/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p1f3_gn_295001-299912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r1i1p1f3/Amon/ps/gn/v20190916/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p1f3_gn_295001-299912.nc,1,1,1,3,r1i1p1f3,abrupt-4xCO2,ps,gn,mon,2950,2999
8,GISS-E2-1-G,ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p1f1_gn_185001-190012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20181002/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p1f1_gn_185001-190012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20181002/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p1f1_gn_185001-190012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,1900
9,GISS-E2-1-G,ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p1f1_gn_190101-195012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20181002/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p1f1_gn_190101-195012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20181002/ps_Amon_GISS-E2-1-G_abrupt-4xCO2_r1i1p1f1_gn_190101-195012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1901,1950
