,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,GISS-E2-1-H,ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_185001-190012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190403/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_185001-190012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190403/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_185001-190012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,1900
1,GISS-E2-1-H,ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_190101-195012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190403/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_190101-195012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190403/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_190101-195012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1901,1950
2,GISS-E2-1-H,ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_195101-200012.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190403/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_195101-200012.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190403/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_195101-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1951,2000
9,GISS-E2-1-H,ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_185001-190012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190403/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_185001-190012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190403/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_185001-190012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,1900
10,GISS-E2-1-H,ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_190101-195012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190403/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_190101-195012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190403/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_190101-195012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1901,1950
11,GISS-E2-1-H,ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_195101-200012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190403/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_195101-200012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190403/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_195101-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1951,2000
15,GISS-E2-1-H,ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p5f1_gn_185001-190012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p5f1/Amon/ps/gn/v20190905/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p5f1_gn_185001-190012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p5f1/Amon/ps/gn/v20190905/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p5f1_gn_185001-190012.nc,1,1,5,1,r1i1p5f1,abrupt-4xCO2,ps,gn,mon,1850,1900
16,GISS-E2-1-H,ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p5f1_gn_190101-195012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p5f1/Amon/ps/gn/v20190905/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p5f1_gn_190101-195012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p5f1/Amon/ps/gn/v20190905/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p5f1_gn_190101-195012.nc,1,1,5,1,r1i1p5f1,abrupt-4xCO2,ps,gn,mon,1901,1950
17,GISS-E2-1-H,ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p5f1_gn_195101-200012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p5f1/Amon/ps/gn/v20190905/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p5f1_gn_195101-200012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p5f1/Amon/ps/gn/v20190905/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p5f1_gn_195101-200012.nc,1,1,5,1,r1i1p5f1,abrupt-4xCO2,ps,gn,mon,1951,2000
18,GISS-E2-1-H,ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_185001-190012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190403/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_185001-190012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NASA-GISS/GISS-E2-1-H/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190403/ps_Amon_GISS-E2-1-H_abrupt-4xCO2_r1i1p1f1_gn_185001-190012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,1900
