model,filename,download_url,opendap_url,Unnamed: 0,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_185001-186912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_185001-186912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_185001-186912.nc,,,,,,,,,,,,
HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_187001-188912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_187001-188912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_187001-188912.nc,,,,,,,,,,,,
HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_189001-190912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_189001-190912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_189001-190912.nc,,,,,,,,,,,,
HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_191001-192912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_191001-192912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_191001-192912.nc,,,,,,,,,,,,
HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_193001-194912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_193001-194912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_193001-194912.nc,,,,,,,,,,,,
HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_195001-196912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_195001-196912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_195001-196912.nc,,,,,,,,,,,,
HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_197001-198712.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_197001-198712.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_197001-198712.nc,,,,,,,,,,,,
HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_198801-198912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_198801-198912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_198801-198912.nc,,,,,,,,,,,,
HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_199001-200912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_199001-200912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_199001-200912.nc,,,,,,,,,,,,
HadGEM3-GC31-MM,ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_201001-201412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_201001-201412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon/ps/gn/v20191218/ps_AERmon_HadGEM3-GC31-MM_historical_r2i1p1f3_gn_201001-201412.nc,,,,,,,,,,,,
