,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,INM-CM5-0,tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_18500101-18991231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_18500101-18991231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_18500101-18991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gr1,day,1850,1899
1,INM-CM5-0,tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19000101-19491231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19000101-19491231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19000101-19491231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gr1,day,1900,1949
2,INM-CM5-0,tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19500101-19991231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19500101-19991231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19500101-19991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gr1,day,1950,1999
3,INM-CM5-0,tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_18500101-18991231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_18500101-18991231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_18500101-18991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gr1,day,1850,1899
4,INM-CM5-0,tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19000101-19491231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19000101-19491231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19000101-19491231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gr1,day,1900,1949
5,INM-CM5-0,tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19500101-19991231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19500101-19991231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19500101-19991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gr1,day,1950,1999
6,INM-CM5-0,tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_18500101-18991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_18500101-18991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_18500101-18991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gr1,day,1850,1899
7,INM-CM5-0,tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19000101-19491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19000101-19491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19000101-19491231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gr1,day,1900,1949
8,INM-CM5-0,tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190610/tas_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_19500101-19991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gr1,day,1950,1999
9,INM-CM5-0,huss_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_18500101-18991231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/huss/gr1/v20190610/huss_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_18500101-18991231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/INM/INM-CM5-0/abrupt-4xCO2/r1i1p1f1/day/huss/gr1/v20190610/huss_day_INM-CM5-0_abrupt-4xCO2_r1i1p1f1_gr1_18500101-18991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,huss,gr1,day,1850,1899
