model,filename,download_url,opendap_url,Unnamed: 0,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
IPSL-CM5A2-INCA,ps_Amon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001-201412.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/Amon/ps/gr/v20200729/ps_Amon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001-201412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/Amon/ps/gr/v20200729/ps_Amon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001-201412.nc,,,,,,,,,,,,
IPSL-CM5A2-INCA,ps_Amon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001-201412.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/Amon/ps/gr/v20200729/ps_Amon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001-201412.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/Amon/ps/gr/v20200729/ps_Amon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001-201412.nc,,,,,,,,,,,,
IPSL-CM5A2-INCA,ps_AERmon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001-201412.nc,http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/AERmon/ps/gr/v20240619/ps_AERmon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001-201412.nc,http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/AERmon/ps/gr/v20240619/ps_AERmon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001-201412.nc,,,,,,,,,,,,
IPSL-CM5A2-INCA,ps_Amon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001-201412.nc,http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/Amon/ps/gr/v20240619/ps_Amon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001-201412.nc,http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/Amon/ps/gr/v20240619/ps_Amon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001-201412.nc,,,,,,,,,,,,
IPSL-CM5A2-INCA,ps_Emon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_195001-201412.nc,http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/Emon/ps/gr/v20240619/ps_Emon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_195001-201412.nc,http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/Emon/ps/gr/v20240619/ps_Emon_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_195001-201412.nc,,,,,,,,,,,,
IPSL-CM5A2-INCA,ps_Amon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_185001-209912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Amon/ps/gr/v20210216/ps_Amon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_185001-209912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Amon/ps/gr/v20210216/ps_Amon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_185001-209912.nc,,,,,,,,,,,,
IPSL-CM5A2-INCA,ps_AERmon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/AERmon/ps/gr/v20210216/ps_AERmon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/AERmon/ps/gr/v20210216/ps_AERmon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,,,,,,,,,,,,
IPSL-CM5A2-INCA,ps_Amon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_185001-209912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Amon/ps/gr/v20210216/ps_Amon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_185001-209912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Amon/ps/gr/v20210216/ps_Amon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_185001-209912.nc,,,,,,,,,,,,
IPSL-CM5A2-INCA,ps_Emon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Emon/ps/gr/v20210216/ps_Emon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Emon/ps/gr/v20210216/ps_Emon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,,,,,,,,,,,,
IPSL-CM5A2-INCA,ps_AERmon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/AERmon/ps/gr/v20210216/ps_AERmon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,http://vesg.ipsl.upmc.fr/thredds/dodsC/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/AERmon/ps/gr/v20210216/ps_AERmon_IPSL-CM5A2-INCA_piControl_r1i1p1f1_gr_187001-209912.nc,,,,,,,,,,,,
