,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,KACE-1-0-G,ps_Amon_KACE-1-0-G_abrupt-4xCO2_r1i1p1f1_gr_185001-200012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NIMS-KMA/KACE-1-0-G/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20190924/ps_Amon_KACE-1-0-G_abrupt-4xCO2_r1i1p1f1_gr_185001-200012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NIMS-KMA/KACE-1-0-G/abrupt-4xCO2/r1i1p1f1/Amon/ps/gr/v20190924/ps_Amon_KACE-1-0-G_abrupt-4xCO2_r1i1p1f1_gr_185001-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gr,mon,1850,2000
1,KACE-1-0-G,ps_AERmon_KACE-1-0-G_abrupt-4xCO2_r1i1p1f1_gr_185001-200012.nc,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/abrupt-4xCO2/r1i1p1f1/AERmon/ps/gr/v20190916/ps_AERmon_KACE-1-0-G_abrupt-4xCO2_r1i1p1f1_gr_185001-200012.nc,http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/abrupt-4xCO2/r1i1p1f1/AERmon/ps/gr/v20190916/ps_AERmon_KACE-1-0-G_abrupt-4xCO2_r1i1p1f1_gr_185001-200012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gr,mon,1850,2000
7,KACE-1-0-G,tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_20000101-20991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_20000101-20991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_20000101-20991230.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2000,2099
8,KACE-1-0-G,tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_21000101-21991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_21000101-21991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_21000101-21991230.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2100,2199
9,KACE-1-0-G,tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_22000101-22991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_22000101-22991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_22000101-22991230.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2200,2299
10,KACE-1-0-G,tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_23000101-23991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_23000101-23991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_23000101-23991230.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2300,2399
11,KACE-1-0-G,tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_24000101-24491230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_24000101-24491230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/tas/gr/v20200108/tas_day_KACE-1-0-G_piControl_r1i1p1f1_gr_24000101-24491230.nc,1,1,1,1,r1i1p1f1,piControl,tas,gr,day,2400,2449
12,KACE-1-0-G,huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_20000101-20991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_20000101-20991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_20000101-20991230.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2000,2099
13,KACE-1-0-G,huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_21000101-21991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_21000101-21991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_21000101-21991230.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2100,2199
14,KACE-1-0-G,huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_22000101-22991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_22000101-22991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_22000101-22991230.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2200,2299
15,KACE-1-0-G,huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_23000101-23991230.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_23000101-23991230.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/day/huss/gr/v20200108/huss_day_KACE-1-0-G_piControl_r1i1p1f1_gr_23000101-23991230.nc,1,1,1,1,r1i1p1f1,piControl,huss,gr,day,2300,2399
16,KACE-1-0-G,ps_Amon_KACE-1-0-G_piControl_r1i1p1f1_gr_240001-244912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/Amon/ps/gr/v20191018/ps_Amon_KACE-1-0-G_piControl_r1i1p1f1_gr_240001-244912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NIMS-KMA/KACE-1-0-G/piControl/r1i1p1f1/Amon/ps/gr/v20191018/ps_Amon_KACE-1-0-G_piControl_r1i1p1f1_gr_240001-244912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,2400,2449
17,KACE-1-0-G,tas_day_KACE-1-0-G_historical_r3i1p1f1_gr_18500101-20141230.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NIMS-KMA/KACE-1-0-G/historical/r3i1p1f1/day/tas/gr/v20200317/tas_day_KACE-1-0-G_historical_r3i1p1f1_gr_18500101-20141230.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NIMS-KMA/KACE-1-0-G/historical/r3i1p1f1/day/tas/gr/v20200317/tas_day_KACE-1-0-G_historical_r3i1p1f1_gr_18500101-20141230.nc,3,1,1,1,r3i1p1f1,historical,tas,gr,day,1850,2014
