,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,MIROC-ES2H,tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18500101-18501231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18500101-18501231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18500101-18501231.nc,3,1,4,2,r3i1p4f2,abrupt-4xCO2,tas,gn,day,1850,1850
1,MIROC-ES2H,tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18510101-18511231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18510101-18511231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18510101-18511231.nc,3,1,4,2,r3i1p4f2,abrupt-4xCO2,tas,gn,day,1851,1851
2,MIROC-ES2H,tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18520101-18521231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18520101-18521231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18520101-18521231.nc,3,1,4,2,r3i1p4f2,abrupt-4xCO2,tas,gn,day,1852,1852
3,MIROC-ES2H,tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18530101-18531231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18530101-18531231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18530101-18531231.nc,3,1,4,2,r3i1p4f2,abrupt-4xCO2,tas,gn,day,1853,1853
4,MIROC-ES2H,tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18540101-18541231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18540101-18541231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18540101-18541231.nc,3,1,4,2,r3i1p4f2,abrupt-4xCO2,tas,gn,day,1854,1854
5,MIROC-ES2H,tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18550101-18551231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18550101-18551231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18550101-18551231.nc,3,1,4,2,r3i1p4f2,abrupt-4xCO2,tas,gn,day,1855,1855
6,MIROC-ES2H,tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18560101-18561231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18560101-18561231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18560101-18561231.nc,3,1,4,2,r3i1p4f2,abrupt-4xCO2,tas,gn,day,1856,1856
7,MIROC-ES2H,tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18570101-18571231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18570101-18571231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18570101-18571231.nc,3,1,4,2,r3i1p4f2,abrupt-4xCO2,tas,gn,day,1857,1857
8,MIROC-ES2H,tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18580101-18581231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18580101-18581231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18580101-18581231.nc,3,1,4,2,r3i1p4f2,abrupt-4xCO2,tas,gn,day,1858,1858
9,MIROC-ES2H,tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18590101-18591231.nc,http://esgf-data02.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18590101-18591231.nc,http://esgf-data02.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MIROC/MIROC-ES2H/abrupt-4xCO2/r3i1p4f2/day/tas/gn/v20230904/tas_day_MIROC-ES2H_abrupt-4xCO2_r3i1p4f2_gn_18590101-18591231.nc,3,1,4,2,r3i1p4f2,abrupt-4xCO2,tas,gn,day,1859,1859
