model,filename,download_url,opendap_url,Unnamed: 0,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
MIROC6,ps_Amon_MIROC6_historical_r3i1p1f1_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r3i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r3i1p1f1_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r3i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r3i1p1f1_gn_185001-194912.nc,,,,,,,,,,,,
MIROC6,ps_Amon_MIROC6_historical_r3i1p1f1_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r3i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r3i1p1f1_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r3i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r3i1p1f1_gn_195001-201412.nc,,,,,,,,,,,,
MIROC6,ps_Amon_MIROC6_historical_r4i1p1f1_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r4i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r4i1p1f1_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r4i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r4i1p1f1_gn_185001-194912.nc,,,,,,,,,,,,
MIROC6,ps_Amon_MIROC6_historical_r4i1p1f1_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r4i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r4i1p1f1_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r4i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r4i1p1f1_gn_195001-201412.nc,,,,,,,,,,,,
MIROC6,ps_Amon_MIROC6_historical_r5i1p1f1_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r5i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r5i1p1f1_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r5i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r5i1p1f1_gn_185001-194912.nc,,,,,,,,,,,,
MIROC6,ps_Amon_MIROC6_historical_r5i1p1f1_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r5i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r5i1p1f1_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r5i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r5i1p1f1_gn_195001-201412.nc,,,,,,,,,,,,
MIROC6,ps_Amon_MIROC6_historical_r6i1p1f1_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r6i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r6i1p1f1_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r6i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r6i1p1f1_gn_185001-194912.nc,,,,,,,,,,,,
MIROC6,ps_Amon_MIROC6_historical_r6i1p1f1_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r6i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r6i1p1f1_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r6i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r6i1p1f1_gn_195001-201412.nc,,,,,,,,,,,,
MIROC6,ps_Amon_MIROC6_historical_r10i1p1f1_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r10i1p1f1_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r10i1p1f1_gn_185001-194912.nc,,,,,,,,,,,,
MIROC6,ps_Amon_MIROC6_historical_r10i1p1f1_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r10i1p1f1_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r10i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r10i1p1f1_gn_195001-201412.nc,,,,,,,,,,,,
MIROC6,ps_Amon_MIROC6_historical_r2i1p1f1_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r2i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r2i1p1f1_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r2i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r2i1p1f1_gn_185001-194912.nc,,,,,,,,,,,,
MIROC6,ps_Amon_MIROC6_historical_r2i1p1f1_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r2i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r2i1p1f1_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r2i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r2i1p1f1_gn_195001-201412.nc,,,,,,,,,,,,
MIROC6,ps_Amon_MIROC6_historical_r8i1p1f1_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r8i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r8i1p1f1_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r8i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r8i1p1f1_gn_185001-194912.nc,,,,,,,,,,,,
MIROC6,ps_Amon_MIROC6_historical_r8i1p1f1_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r8i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r8i1p1f1_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MIROC/MIROC6/historical/r8i1p1f1/Amon/ps/gn/v20181212/ps_Amon_MIROC6_historical_r8i1p1f1_gn_195001-201412.nc,,,,,,,,,,,,
