model,filename,download_url,opendap_url,Unnamed: 0,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
MPI-ESM1-2-HR,ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_185001-185412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_185001-185412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_185001-185412.nc,,,,,,,,,,,,
MPI-ESM1-2-HR,ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_185501-185912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_185501-185912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_185501-185912.nc,,,,,,,,,,,,
MPI-ESM1-2-HR,ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_186001-186412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_186001-186412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_186001-186412.nc,,,,,,,,,,,,
MPI-ESM1-2-HR,ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_186501-186912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_186501-186912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_186501-186912.nc,,,,,,,,,,,,
MPI-ESM1-2-HR,ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_187001-187412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_187001-187412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_187001-187412.nc,,,,,,,,,,,,
MPI-ESM1-2-HR,ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_187501-187912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_187501-187912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_187501-187912.nc,,,,,,,,,,,,
MPI-ESM1-2-HR,ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_188001-188412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_188001-188412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_188001-188412.nc,,,,,,,,,,,,
MPI-ESM1-2-HR,ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_188501-188912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_188501-188912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_188501-188912.nc,,,,,,,,,,,,
MPI-ESM1-2-HR,ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_189001-189412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_189001-189412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_189001-189412.nc,,,,,,,,,,,,
MPI-ESM1-2-HR,ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_189501-189912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_189501-189912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r7i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-HR_historical_r7i1p1f1_gn_189501-189912.nc,,,,,,,,,,,,
