model,filename,download_url,opendap_url,Unnamed: 0,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
MPI-ESM1-2-LR,ps_Amon_MPI-ESM1-2-LR_ssp245_r2i1p1f1_gn_201501-203412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r2i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r2i1p1f1_gn_201501-203412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r2i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r2i1p1f1_gn_201501-203412.nc,,,,,,,,,,,,
MPI-ESM1-2-LR,ps_Amon_MPI-ESM1-2-LR_ssp245_r2i1p1f1_gn_203501-205412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r2i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r2i1p1f1_gn_203501-205412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r2i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r2i1p1f1_gn_203501-205412.nc,,,,,,,,,,,,
MPI-ESM1-2-LR,ps_Amon_MPI-ESM1-2-LR_ssp245_r2i1p1f1_gn_205501-207412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r2i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r2i1p1f1_gn_205501-207412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r2i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r2i1p1f1_gn_205501-207412.nc,,,,,,,,,,,,
MPI-ESM1-2-LR,ps_Amon_MPI-ESM1-2-LR_ssp245_r2i1p1f1_gn_207501-209412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r2i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r2i1p1f1_gn_207501-209412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r2i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r2i1p1f1_gn_207501-209412.nc,,,,,,,,,,,,
MPI-ESM1-2-LR,ps_Amon_MPI-ESM1-2-LR_ssp245_r2i1p1f1_gn_209501-210012.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r2i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r2i1p1f1_gn_209501-210012.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r2i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r2i1p1f1_gn_209501-210012.nc,,,,,,,,,,,,
MPI-ESM1-2-LR,ps_Amon_MPI-ESM1-2-LR_ssp245_r10i1p1f1_gn_201501-203412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r10i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r10i1p1f1_gn_201501-203412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r10i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r10i1p1f1_gn_201501-203412.nc,,,,,,,,,,,,
MPI-ESM1-2-LR,ps_Amon_MPI-ESM1-2-LR_ssp245_r10i1p1f1_gn_203501-205412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r10i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r10i1p1f1_gn_203501-205412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r10i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r10i1p1f1_gn_203501-205412.nc,,,,,,,,,,,,
MPI-ESM1-2-LR,ps_Amon_MPI-ESM1-2-LR_ssp245_r10i1p1f1_gn_205501-207412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r10i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r10i1p1f1_gn_205501-207412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r10i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r10i1p1f1_gn_205501-207412.nc,,,,,,,,,,,,
MPI-ESM1-2-LR,ps_Amon_MPI-ESM1-2-LR_ssp245_r10i1p1f1_gn_207501-209412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r10i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r10i1p1f1_gn_207501-209412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r10i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r10i1p1f1_gn_207501-209412.nc,,,,,,,,,,,,
MPI-ESM1-2-LR,ps_Amon_MPI-ESM1-2-LR_ssp245_r10i1p1f1_gn_209501-210012.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r10i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r10i1p1f1_gn_209501-210012.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/MPI-M/MPI-ESM1-2-LR/ssp245/r10i1p1f1/Amon/ps/gn/v20190710/ps_Amon_MPI-ESM1-2-LR_ssp245_r10i1p1f1_gn_209501-210012.nc,,,,,,,,,,,,
