,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,NESM3,ps_Amon_NESM3_abrupt-4xCO2_r1i1p1f1_gn_185001-199912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NUIST/NESM3/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_abrupt-4xCO2_r1i1p1f1_gn_185001-199912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NUIST/NESM3/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_abrupt-4xCO2_r1i1p1f1_gn_185001-199912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,1999
1,NESM3,ps_Amon_NESM3_abrupt-4xCO2_r1i1p1f1_gn_185001-199912.nc,http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NUIST/NESM3/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_abrupt-4xCO2_r1i1p1f1_gn_185001-199912.nc,http://esg.lasg.ac.cn/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NUIST/NESM3/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_abrupt-4xCO2_r1i1p1f1_gn_185001-199912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,1999
2,NESM3,ps_Amon_NESM3_abrupt-4xCO2_r1i1p1f1_gn_185001-199912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NUIST/NESM3/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_abrupt-4xCO2_r1i1p1f1_gn_185001-199912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NUIST/NESM3/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_abrupt-4xCO2_r1i1p1f1_gn_185001-199912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,1999
3,NESM3,ps_Amon_NESM3_abrupt-4xCO2_r1i1p1f1_gn_185001-199912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/NUIST/NESM3/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_abrupt-4xCO2_r1i1p1f1_gn_185001-199912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/NUIST/NESM3/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_abrupt-4xCO2_r1i1p1f1_gn_185001-199912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,1999
4,NESM3,ps_Amon_NESM3_abrupt-4xCO2_r1i1p1f1_gn_185001-199912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NUIST/NESM3/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_abrupt-4xCO2_r1i1p1f1_gn_185001-199912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NUIST/NESM3/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_abrupt-4xCO2_r1i1p1f1_gn_185001-199912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1850,1999
5,NESM3,ps_Amon_NESM3_piControl_r1i1p1f1_gn_050001-059912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Amon/ps/gn/v20190708/ps_Amon_NESM3_piControl_r1i1p1f1_gn_050001-059912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Amon/ps/gn/v20190708/ps_Amon_NESM3_piControl_r1i1p1f1_gn_050001-059912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,500,599
6,NESM3,ps_Amon_NESM3_piControl_r1i1p1f1_gn_060001-069912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Amon/ps/gn/v20190708/ps_Amon_NESM3_piControl_r1i1p1f1_gn_060001-069912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Amon/ps/gn/v20190708/ps_Amon_NESM3_piControl_r1i1p1f1_gn_060001-069912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,600,699
7,NESM3,ps_Amon_NESM3_piControl_r1i1p1f1_gn_070001-079912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_piControl_r1i1p1f1_gn_070001-079912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_piControl_r1i1p1f1_gn_070001-079912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,700,799
8,NESM3,ps_Amon_NESM3_piControl_r1i1p1f1_gn_080001-089912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_piControl_r1i1p1f1_gn_080001-089912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_piControl_r1i1p1f1_gn_080001-089912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,800,899
9,NESM3,ps_Amon_NESM3_piControl_r1i1p1f1_gn_090001-099912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_piControl_r1i1p1f1_gn_090001-099912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Amon/ps/gn/v20190707/ps_Amon_NESM3_piControl_r1i1p1f1_gn_090001-099912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,900,999
