,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,NorESM1-F,ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_150101-151012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_150101-151012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_150101-151012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1501,1510
1,NorESM1-F,ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_151101-152012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_151101-152012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_151101-152012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1511,1520
2,NorESM1-F,ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_152101-153012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_152101-153012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_152101-153012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1521,1530
3,NorESM1-F,ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_153101-154012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_153101-154012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_153101-154012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1531,1540
4,NorESM1-F,ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_154101-155012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_154101-155012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_154101-155012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1541,1550
5,NorESM1-F,ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_155101-156012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_155101-156012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_155101-156012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1551,1560
6,NorESM1-F,ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_156101-157012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_156101-157012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_156101-157012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1561,1570
7,NorESM1-F,ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_157101-158012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_157101-158012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_157101-158012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1571,1580
8,NorESM1-F,ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_158101-159012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_158101-159012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_158101-159012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1581,1590
9,NorESM1-F,ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_159101-160012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_159101-160012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM1-F/piControl/r1i1p1f1/Emon/ps/gn/v20190920/ps_Emon_NorESM1-F_piControl_r1i1p1f1_gn_159101-160012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1591,1600
