model,filename,download_url,opendap_url,Unnamed: 0,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
NorESM2-LM,ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_201501-202012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_201501-202012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_201501-202012.nc,,,,,,,,,,,,
NorESM2-LM,ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_202101-203012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_202101-203012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_202101-203012.nc,,,,,,,,,,,,
NorESM2-LM,ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_203101-204012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_203101-204012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_203101-204012.nc,,,,,,,,,,,,
NorESM2-LM,ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_204101-205012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_204101-205012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_204101-205012.nc,,,,,,,,,,,,
NorESM2-LM,ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_205101-206012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_205101-206012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_205101-206012.nc,,,,,,,,,,,,
NorESM2-LM,ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_206101-207012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_206101-207012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_206101-207012.nc,,,,,,,,,,,,
NorESM2-LM,ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_207101-208012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_207101-208012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_207101-208012.nc,,,,,,,,,,,,
NorESM2-LM,ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_208101-209012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_208101-209012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_208101-209012.nc,,,,,,,,,,,,
NorESM2-LM,ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_209101-210012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_209101-210012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_209101-210012.nc,,,,,,,,,,,,
NorESM2-LM,ps_Amon_NorESM2-LM_ssp245_r2i1p1f1_gn_201501-202012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r2i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r2i1p1f1_gn_201501-202012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r2i1p1f1/Amon/ps/gn/v20191108/ps_Amon_NorESM2-LM_ssp245_r2i1p1f1_gn_201501-202012.nc,,,,,,,,,,,,
